"id","Name","City","Country","IATA","ICAO","Latitude","Longitude","Altitude","Timezone","DST","Tz"
"17","New James Airport","New James","Norway","MHH","YHCZ","65.333376","-170.791888","675","Africa/Nouakchott","E","Asia/Katmandu"
"18","Port Williammouth Airport","Port Williammouth","Libyan Arab Jamahiriya","MQP","SNUT","29.451880","-13.794582","993","Africa/Kampala","N","Africa/Khartoum"
"19","Dawsonhaven Airport","Dawsonhaven","Bermuda","XIZ","ATAR","-78.934578","135.067843","553","Europe/Monaco","U","Asia/Dushanbe"
"20","Port Benjamintown Airport","Port Benjamintown","Iran","BKV","CBQV","-29.071066","103.938142","877","Asia/Taipei","A","America/Port_of_Spain"
"21","Lake Robertview Airport","Lake Robertview","Marshall Islands","GQG","SDPM","-23.0150235","136.166064","5","Asia/Samarkand","U","Asia/Pyongyang"
"22","Alisonview Airport","Alisonview","Kiribati","RAU","AQOD","62.1007375","50.228349","157","Pacific/Auckland","Z","Asia/Phnom_Penh"
"23","Tonyton Airport","Tonyton","Sri Lanka","URW","QKJE","37.771793","-157.113819","650","Africa/Mbabane","O","Africa/Lome"
"24","Colemanville Airport","Colemanville","Slovakia (Slovak Republic)","OGM","DZIX","17.3351025","154.208003","974","Asia/Vientiane","E","America/St_Lucia"
"25","New Eugeneton Airport","New Eugeneton","Reunion","TUS","CWFE","68.9627325","-21.064668","113","Europe/Amsterdam","S","Pacific/Kosrae"
"26","Port James Airport","Port James","Western Sahara","NIV","CWZO","89.0279065","-87.077141","827","Asia/Harbin","U","Europe/Warsaw"
"27","Rodriguezside Airport","Rodriguezside","South Georgia and the South Sandwich Islands","SQD","YLSU","61.9454935","-119.159610","201","Africa/Asmera","A","Africa/Banjul"
"28","Samanthamouth Airport","Samanthamouth","Mozambique","AVK","WJWY","-2.0769675","-22.564649","584","Europe/Stockholm","E","Asia/Dubai"
"29","Ellisonbury Airport","Ellisonbury","Guadeloupe","EIV","ZQOY","-86.958210","120.909109","967","America/Lima","E","America/Adak"
"30","Port Kristy Airport","Port Kristy","Uzbekistan","NLL","ZVRN","-87.789552","95.482222","260","Europe/Sarajevo","N","Africa/Brazzaville"
"31","Taylormouth Airport","Taylormouth","Montenegro","PRI","ZFWE","48.0357375","49.585266","553","Europe/Vilnius","E","America/St_Kitts"
"32","Port Dawn Airport","Port Dawn","Australia","RIS","QLXQ","-4.5814325","179.737014","891","Asia/Jakarta","U","Pacific/Apia"
"33","West Phyllis Airport","West Phyllis","Saint Martin","BNV","ZVBW","-18.223264","-36.037317","126","Africa/Malabo","E","Europe/Helsinki"
"34","North Stevenborough Airport","North Stevenborough","United States Minor Outlying Islands","IBX","ZYVU","-47.1427525","9.860568","951","Europe/Vaduz","O","Europe/London"
"35","Lake Carlastad Airport","Lake Carlastad","Afghanistan","KUM","ZZNU","-39.663724","-52.615555","916","Asia/Calcutta","O","Pacific/Apia"
"36","Christophermouth Airport","Christophermouth","Morocco","RCK","VHZZ","87.492220","-42.462554","622","Europe/Luxembourg","E","Asia/Yerevan"
"37","Smithberg Airport","Smithberg","Nauru","WAX","IWAI","49.265978","-138.121543","836","Asia/Bangkok","A","America/Jamaica"
"38","Schaeferborough Airport","Schaeferborough","Lesotho","BDD","HBUP","82.613393","-90.384965","269","Europe/Ljubljana","Z","Europe/Bucharest"
"39","New Anna Airport","New Anna","Haiti","YHU","BUOS","65.213704","130.601346","571","Asia/Krasnoyarsk","N","America/Havana"
"40","Teresashire Airport","Teresashire","Haiti","CTD","GSMI","-61.352190","-166.506331","830","Africa/Djibouti","Z","Asia/Aqtau"
"41","Williamsville Airport","Williamsville","Kiribati","AAA","VLWF","3.826854","142.594643","155","Africa/Nouakchott","O","Europe/Istanbul"
"42","North Calebborough Airport","North Calebborough","Namibia","UPU","LPZF","73.1571275","-124.277800","864","Asia/Kuwait","U","Asia/Phnom_Penh"
"43","Lake Jill Airport","Lake Jill","Malaysia","DQP","UONU","5.836132","-152.784260","572","Africa/Bujumbura","Z","Asia/Beirut"
"44","Hullview Airport","Hullview","Iraq","UZT","CIOL","-87.058662","91.146287","930","Africa/Asmera","S","Pacific/Guadalcanal"
"45","Smithchester Airport","Smithchester","Norfolk Island","ZEI","LZDM","63.8824465","144.824746","155","Asia/Vladivostok","Z","Asia/Tbilisi"
"46","East Allisonberg Airport","East Allisonberg","Dominica","XQO","BCGJ","33.968652","121.222292","302","America/St_Kitts","Z","America/Guatemala"
"47","Lake Katelyn Airport","Lake Katelyn","Mauritius","TXI","GDAZ","64.260851","-57.549726","43","America/Bogota","A","Africa/Lagos"
"48","New Jacqueline Airport","New Jacqueline","Christmas Island","UBB","BVYA","69.0598015","99.571704","668","Pacific/Funafuti","O","Asia/Manila"
"49","Port Ana Airport","Port Ana","Northern Mariana Islands","CNY","LJNC","-52.595128","148.955623","927","Africa/Bissau","O","Africa/Abidjan"
"50","Warnerhaven Airport","Warnerhaven","Australia","XZH","WKPA","-48.054351","95.261065","108","Europe/Dublin","E","Asia/Bishkek"
"51","Lake Phylliston Airport","Lake Phylliston","Holy See (Vatican City State)","WCV","NZRS","57.3518075","-176.203700","900","Europe/London","E","Africa/Freetown"
"52","Lake James Airport","Lake James","Tonga","XRT","LXJX","-49.787030","111.363554","772","Asia/Tokyo","Z","Asia/Dushanbe"
"53","Port Kathryn Airport","Port Kathryn","Angola","GTE","BBGQ","27.9539165","153.455117","179","Asia/Hebron","A","America/Dominica"
"54","Port Kathryn Airport","Port Kathryn","Taiwan","RNV","QWKC","-33.423838","127.610711","710","America/Edmonton","N","Africa/Algiers"
"55","South Wendy Airport","South Wendy","Cambodia","WBU","RHFZ","65.170556","-124.724220","521","Africa/Casablanca","Z","Europe/Sofia"
"56","Huntfurt Airport","Huntfurt","Iceland","IWA","CCZS","48.7021705","-45.648135","141","Asia/Bahrain","N","Europe/Riga"
"57","Williamsside Airport","Williamsside","Cayman Islands","WCX","GELX","25.9415725","137.644119","359","Asia/Saigon","N","Asia/Calcutta"
"58","Ashleyland Airport","Ashleyland","Senegal","BYA","DMXQ","84.3178745","-153.913729","38","Europe/Helsinki","A","Asia/Qatar"
"59","Petersfort Airport","Petersfort","Israel","OIG","FPZD","-18.767086","37.909751","644","Pacific/Port_Moresby","U","Asia/Ulaanbaatar"
"60","Marshallport Airport","Marshallport","Qatar","YEW","YZAM","-44.4430565","105.673260","20","Europe/San_Marino","Z","Europe/San_Marino"
"61","North Christopher Airport","North Christopher","Isle of Man","EHG","RXWC","67.918421","162.663883","596","America/Bahia","E","Asia/Beirut"
"62","West Pamelafort Airport","West Pamelafort","Wallis and Futuna","RKC","NOQS","85.2632275","-43.980868","31","Asia/Seoul","A","Africa/Lusaka"
"63","West Donald Airport","West Donald","Solomon Islands","DCG","MSRR","38.197901","-150.753322","481","Asia/Aqtobe","N","Africa/Luanda"
"64","Cindymouth Airport","Cindymouth","Belarus","EBY","PGMX","-43.7954805","-55.647509","272","Asia/Colombo","Z","Asia/Katmandu"
"65","West Charles Airport","West Charles","India","JAP","MADS","7.522970","-118.845575","959","Asia/Riyadh","S","Asia/Jerusalem"
"66","Warnermouth Airport","Warnermouth","Djibouti","CRB","DJZV","-82.108739","-132.846033","90","America/Blanc-Sablon","A","Europe/Tallinn"
"67","New Gabrielchester Airport","New Gabrielchester","Sri Lanka","GLZ","FIVA","-10.9634615","-136.399477","201","Africa/Ouagadougou","A","Africa/Maseru"
"68","Philipton Airport","Philipton","Cuba","TRF","CMRR","78.665369","175.923086","16","Africa/Dar_es_Salaam","U","America/Santiago"
"69","Hernandezborough Airport","Hernandezborough","Guinea-Bissau","POD","EEEP","40.224474","-5.567250","458","Europe/Sarajevo","S","Asia/Manila"
"70","Port Ashleymouth Airport","Port Ashleymouth","South Africa","HYI","OQEP","70.6138685","-75.075026","988","Europe/Vatican","S","Atlantic/Canary"
"71","Tylerport Airport","Tylerport","Norway","RRI","JXRQ","60.004210","160.928052","59","America/Noronha","S","Asia/Riyadh"
"72","North James Airport","North James","Seychelles","NWT","HBKM","-53.120516","-110.832524","529","Europe/Minsk","U","Europe/Chisinau"
"73","West Samantha Airport","West Samantha","Sweden","SNS","PIOJ","64.848513","-109.962740","275","Europe/Sarajevo","S","Europe/Minsk"
"74","South Christineville Airport","South Christineville","Cape Verde","CWZ","PCLH","76.547918","89.043992","823","Asia/Riyadh","S","Africa/Banjul"
"75","Lake Jillianfort Airport","Lake Jillianfort","Bahrain","DUK","VEAC","-25.852633","151.400458","722","Africa/Brazzaville","Z","Africa/Ouagadougou"
"76","Joshuabury Airport","Joshuabury","Slovakia (Slovak Republic)","OLN","PHXM","-45.3280005","170.368594","248","Pacific/Majuro","N","Asia/Tbilisi"
"77","New Jonathanberg Airport","New Jonathanberg","Armenia","FKV","ABHK","-6.3521285","159.900085","46","Asia/Tehran","S","Europe/Kyiv"
"78","Dunnville Airport","Dunnville","Mali","PNB","RLIN","-31.9122375","164.731492","871","Asia/Riyadh","E","Asia/Taipei"
"79","North Ellenport Airport","North Ellenport","Turks and Caicos Islands","WHB","QMND","-31.1866835","-40.216092","3","Europe/Berlin","N","America/Phoenix"
"80","East Paul Airport","East Paul","Montenegro","ERX","IJWZ","23.782037","125.912560","115","Europe/Minsk","Z","Asia/Tehran"
"81","Lewisshire Airport","Lewisshire","Iceland","CDZ","NALB","67.367816","159.775431","486","Africa/Blantyre","A","Europe/Rome"
"82","North Joseph Airport","North Joseph","Costa Rica","CNJ","AJZY","-10.4194645","72.710840","536","Europe/Vilnius","N","Europe/Prague"
"83","West Geraldburgh Airport","West Geraldburgh","Senegal","JGE","NIVD","15.051874","-147.962896","845","Asia/Baku","U","Africa/Douala"
"84","Sarahview Airport","Sarahview","Guyana","LIG","ZKYG","45.0527765","-133.078058","210","Asia/Bangkok","O","Asia/Rangoon"
"85","Fowlermouth Airport","Fowlermouth","French Guiana","HMG","JKRA","33.282440","-71.200312","739","Asia/Muscat","Z","Europe/Budapest"
"86","Jamesport Airport","Jamesport","Uruguay","NOA","AGHE","-87.5212865","-141.489784","960","Africa/Lusaka","A","Africa/Malabo"
"87","Aprilmouth Airport","Aprilmouth","Antigua and Barbuda","KZK","EXCE","16.4298035","-23.364848","250","Africa/Accra","O","America/Nassau"
"88","Youngburgh Airport","Youngburgh","Myanmar","JYH","GMMX","-88.1563305","169.802046","944","Pacific/Tongatapu","E","Asia/Brunei"
"89","Nicolebury Airport","Nicolebury","Kiribati","OCI","MEHV","80.9347135","-63.376416","778","Europe/Zagreb","A","America/Panama"
"90","South Brianburgh Airport","South Brianburgh","Portugal","YZR","CHSG","-33.009934","-118.651552","838","America/Nassau","Z","America/La_Paz"
"91","Murphytown Airport","Murphytown","Norway","VXN","WZFV","-82.6227415","-27.565294","895","Asia/Muscat","A","Pacific/Funafuti"
"92","Port Keith Airport","Port Keith","Moldova","OGL","LJZC","85.755467","-38.314988","651","Africa/Asmera","E","Europe/Budapest"
"93","New Brandonchester Airport","New Brandonchester","Zambia","VBY","RKKR","-37.1058965","-84.404157","604","America/Belize","Z","Asia/Manila"
"94","West Ebony Airport","West Ebony","Myanmar","LPL","DDDS","71.6770375","-163.040693","939","Africa/Kampala","A","Africa/Kinshasa"
"95","Mirandaland Airport","Mirandaland","Turkmenistan","LVU","OZRJ","-42.819225","-148.883737","785","Africa/Johannesburg","E","Africa/Lusaka"
"96","West Jessicamouth Airport","West Jessicamouth","Libyan Arab Jamahiriya","OFF","PLZK","-20.754972","164.626941","57","Africa/Banjul","E","Indian/Antananarivo"
"97","North Jason Airport","North Jason","Zambia","LEA","IDXJ","-49.7852245","-157.509396","443","Pacific/Funafuti","Z","Asia/Kuwait"
"98","Colonborough Airport","Colonborough","Slovakia (Slovak Republic)","XEN","SGJO","-75.824100","99.644250","960","Africa/Ndjamena","Z","Africa/Gaborone"
"99","Port Heather Airport","Port Heather","Palau","FIJ","SVTB","26.7466275","-158.760927","427","America/Phoenix","U","Europe/Belgrade"
"100","New Stephanieside Airport","New Stephanieside","Fiji","HBW","CPFR","-82.433665","99.822408","706","Europe/Belgrade","S","America/Tegucigalpa"
"101","Youngville Airport","Youngville","Kiribati","YFD","EDVJ","84.0381115","29.508396","220","Asia/Qatar","N","Europe/Skopje"
"102","Vanessaview Airport","Vanessaview","Bangladesh","KCD","SSNY","1.104528","53.659600","860","America/Tegucigalpa","Z","America/St_Vincent"
"103","Rayhaven Airport","Rayhaven","United States Minor Outlying Islands","GHC","JLPY","-18.7321825","135.569935","696","Europe/Bratislava","E","Pacific/Kwajalein"
"104","South John Airport","South John","Switzerland","RVC","OWYJ","-68.406461","-55.903377","449","Europe/London","E","Africa/Brazzaville"
"105","Blakemouth Airport","Blakemouth","Spain","WKQ","XMYM","26.250381","65.697219","604","Asia/Manila","E","Africa/Freetown"
"106","Robertburgh Airport","Robertburgh","Korea","YVR","VPJA","60.1305915","-23.408039","553","Europe/Brussels","N","Europe/Vilnius"
"107","Ianstad Airport","Ianstad","Falkland Islands (Malvinas)","BIH","TZZT","-31.3297135","-27.293792","827","Africa/Mogadishu","A","Africa/Conakry"
"108","South Barbara Airport","South Barbara","Saint Barthelemy","KEA","EGDN","-27.7380015","-88.110707","191","America/Nassau","E","America/Belize"
"109","West Anthony Airport","West Anthony","South Africa","MYW","RDFN","37.909256","117.189615","745","Asia/Rangoon","O","Europe/Zaporozhye"
"110","Garciaberg Airport","Garciaberg","Faroe Islands","NBW","RLPY","58.4115775","-28.351406","797","America/Managua","S","Europe/Bucharest"
"111","Lambertview Airport","Lambertview","Mexico","HPL","AWXJ","-66.514553","-96.494936","974","Asia/Beirut","S","America/Merida"
"112","East Martinmouth Airport","East Martinmouth","Tajikistan","AOZ","SHTU","-18.6034505","-0.279362","580","Asia/Amman","Z","Africa/Nairobi"
"113","Steveshire Airport","Steveshire","Armenia","FYL","OGJC","-45.385505","-121.816284","28","Europe/Athens","S","Indian/Antananarivo"
"114","East Baileybury Airport","East Baileybury","Cote d'Ivoire","API","GTDR","-78.1207425","99.218384","411","Africa/Abidjan","S","Asia/Rangoon"
"115","Lake Glenda Airport","Lake Glenda","South Georgia and the South Sandwich Islands","IOW","YRUG","-63.878837","-59.026986","608","Europe/Tallinn","S","America/St_Kitts"
"116","North Katherine Airport","North Katherine","Syrian Arab Republic","XKL","VICS","80.737000","112.654368","106","Europe/Sofia","S","Africa/Nouakchott"
"117","Lake Mary Airport","Lake Mary","South Africa","KKO","QOAZ","-40.2244315","148.236642","396","Europe/Amsterdam","N","America/Cuiaba"
"118","Brittanyton Airport","Brittanyton","Paraguay","ZMI","HFQI","-80.456185","83.917299","131","America/Paramaribo","Z","Asia/Jerusalem"
"119","North Danielmouth Airport","North Danielmouth","Nepal","IZF","PLUP","-42.798392","95.407755","789","Europe/Vienna","O","Africa/Casablanca"
"120","North Nicholastown Airport","North Nicholastown","Guatemala","LUG","OXQL","11.1113735","86.758970","145","America/Havana","A","Africa/Bissau"
"121","Toddland Airport","Toddland","Puerto Rico","OMQ","HEXI","86.259275","32.470472","656","Europe/Istanbul","U","Asia/Bangkok"
"122","Sanchezbury Airport","Sanchezbury","Congo","ASY","RMBZ","18.6924075","-40.519928","159","America/Santiago","A","Asia/Singapore"
"123","Lake Scott Airport","Lake Scott","Israel","OUL","OSGS","-80.3748915","99.917591","229","Africa/Conakry","S","Asia/Oral"
"124","Chanton Airport","Chanton","Mali","IOG","GRQX","-37.7169765","-41.388832","650","Asia/Colombo","N","Asia/Ashgabat"
"125","Cynthiaberg Airport","Cynthiaberg","Rwanda","MIN","TFAR","-88.763587","-72.108765","602","Asia/Yerevan","A","Pacific/Chatham"
"126","South Nicole Airport","South Nicole","Armenia","LCI","OBPG","-60.552005","-109.329007","28","Pacific/Efate","A","Asia/Hebron"
"127","Victortown Airport","Victortown","South Africa","BAQ","LOZQ","0.7577065","128.256917","134","Africa/Mbabane","U","Asia/Seoul"
"128","Simmonsberg Airport","Simmonsberg","Paraguay","WJJ","VVQF","-68.5638535","-18.533446","0","Asia/Tehran","N","Indian/Mauritius"
"129","North Tiffanymouth Airport","North Tiffanymouth","Poland","WWX","KMMQ","-81.5173275","-125.796141","300","Indian/Mauritius","U","Pacific/Ponape"
"130","Hurleyshire Airport","Hurleyshire","United Kingdom","WJW","UQXM","-35.1495595","-129.715892","238","Pacific/Kwajalein","Z","Africa/Tunis"
"131","Davidview Airport","Davidview","Kenya","ASX","ZPVS","71.830383","-28.538848","441","Africa/Khartoum","N","America/St_Lucia"
"132","Littleport Airport","Littleport","Cook Islands","SNK","IIOW","48.1018635","-175.615114","609","Africa/Johannesburg","O","Pacific/Truk"
"133","Brianview Airport","Brianview","Iraq","UOB","DPIM","-36.7080775","7.363404","952","Africa/Kampala","O","Europe/Sofia"
"134","New Michaelport Airport","New Michaelport","Saint Kitts and Nevis","AHP","EPYP","-89.6268435","-48.625125","280","Europe/London","Z","Asia/Vientiane"
"135","Connorhaven Airport","Connorhaven","South Georgia and the South Sandwich Islands","WDA","JVSH","17.480998","-46.198461","469","Pacific/Kwajalein","O","Indian/Maldives"
"136","Jonesmouth Airport","Jonesmouth","Mongolia","JEW","KAIQ","10.9094875","133.978911","764","Atlantic/Reykjavik","Z","Africa/Bissau"
"137","West Ambershire Airport","West Ambershire","Wallis and Futuna","LNO","KPBR","69.2333435","175.232946","9","America/Caracas","O","Asia/Bangkok"
"138","East Anna Airport","East Anna","Guinea","BQO","ZXRA","-21.486867","-70.287818","395","Africa/Tripoli","O","Africa/Abidjan"
"139","Watsonland Airport","Watsonland","Finland","CJM","LHPR","51.2970665","-171.014118","243","Europe/Budapest","A","Africa/Nouakchott"
"140","Jeffreymouth Airport","Jeffreymouth","Belgium","YDC","PZHB","-9.239204","-175.220345","899","Africa/Bissau","E","America/Tegucigalpa"
"141","Ginatown Airport","Ginatown","Brazil","LND","IXNN","15.994433","-16.176658","978","Asia/Yerevan","U","Europe/Sofia"
"142","Kelseyland Airport","Kelseyland","France","XJH","JAFH","58.7159005","-1.998641","417","Europe/Monaco","N","Africa/Lome"
"143","Edwardside Airport","Edwardside","Nepal","XPW","CKXG","5.2090625","116.170876","24","Asia/Jerusalem","S","Africa/Algiers"
"144","Smithborough Airport","Smithborough","New Zealand","IQW","PHWJ","56.635458","58.907201","670","Asia/Thimphu","E","Asia/Seoul"
"145","Johnsonside Airport","Johnsonside","Antigua and Barbuda","NUN","CHHF","20.9661875","55.433450","385","Asia/Singapore","S","Africa/Kigali"
"146","North Michael Airport","North Michael","Jamaica","RNZ","YNEG","-47.518435","3.747490","422","Africa/Bangui","U","Africa/Malabo"
"147","West Bob Airport","West Bob","Marshall Islands","PIC","UJTE","-89.120397","175.503316","220","Africa/Blantyre","U","Europe/Lisbon"
"148","West Sheilaborough Airport","West Sheilaborough","Serbia","ORU","KCVB","-52.8214895","-60.966262","110","Africa/Banjul","U","Africa/Bangui"
"149","East Jeffreyside Airport","East Jeffreyside","Kuwait","XSA","PSQQ","-53.6198325","0.368602","429","Africa/Porto-Novo","N","Europe/Copenhagen"
"150","Kennethton Airport","Kennethton","Uruguay","CTS","LVAD","-31.689846","55.179596","276","Africa/Cairo","U","Asia/Saigon"
"151","Baileymouth Airport","Baileymouth","Gabon","CYR","LLSJ","-0.3834175","-67.709758","709","America/Managua","O","Africa/Bissau"
"152","Lake Diamond Airport","Lake Diamond","Peru","VED","KUNB","-20.5361025","86.507054","777","Europe/San_Marino","Z","America/St_Lucia"
"153","Hopkinshaven Airport","Hopkinshaven","Congo","GLD","MGFC","7.415498","-101.522624","66","Africa/Harare","U","Asia/Hebron"
"154","South Casey Airport","South Casey","Papua New Guinea","FEY","WHWW","3.338158","169.531164","538","Pacific/Efate","E","Europe/Minsk"
"155","West Shannonborough Airport","West Shannonborough","Serbia","AOH","GVCF","-13.9032865","-164.454123","203","Asia/Nicosia","S","Africa/Djibouti"
"156","South Phillip Airport","South Phillip","Guatemala","AUE","DTFE","18.185947","-74.304337","490","Africa/Lusaka","O","Indian/Antananarivo"
"157","Lake Mary Airport","Lake Mary","Tajikistan","EXR","LVNJ","-38.456381","165.886359","928","Europe/Vaduz","E","Asia/Muscat"
"158","Lake Brendamouth Airport","Lake Brendamouth","Luxembourg","OSE","GDGG","72.304788","174.254574","466","Asia/Dubai","N","Asia/Nicosia"
"159","West Briannaburgh Airport","West Briannaburgh","Chile","ZVD","SZHS","-27.663084","-57.026952","143","Europe/Brussels","U","Asia/Hovd"
"160","Lanebury Airport","Lanebury","Sierra Leone","HPI","YUGX","-9.279319","-167.868318","129","America/Tegucigalpa","A","Africa/Nairobi"
"161","Port Valerieville Airport","Port Valerieville","Kyrgyz Republic","NCP","WCDM","-28.9266165","-64.276128","874","Asia/Vientiane","Z","America/Guatemala"
"162","Summermouth Airport","Summermouth","Sri Lanka","WJU","RVIX","-66.5526465","158.934243","786","Europe/Vatican","O","Asia/Rangoon"
"163","South Robertville Airport","South Robertville","Congo","GXA","IQKU","59.162817","41.940857","844","Asia/Qatar","E","Africa/Gaborone"
"164","Marychester Airport","Marychester","Norway","LQV","TJCH","-55.6918005","-63.381326","176","Africa/Casablanca","U","Pacific/Easter"
"165","Jasonview Airport","Jasonview","Luxembourg","CZR","CELE","21.5633265","36.064690","215","Europe/Malta","E","Africa/Khartoum"
"166","Smallstad Airport","Smallstad","South Georgia and the South Sandwich Islands","FKW","PMWZ","11.296761","166.114666","345","Asia/Jerusalem","E","America/St_Kitts"
"167","North Erikaview Airport","North Erikaview","Kiribati","NJN","JOIY","-73.4093125","166.686925","581","Africa/Mbabane","A","Africa/Ndjamena"
"168","West Ashleymouth Airport","West Ashleymouth","Sudan","PPM","ZGBC","-59.0247575","-149.818756","455","America/Grenada","S","Africa/Banjul"
"169","Millerhaven Airport","Millerhaven","Switzerland","OQP","WNTG","5.131921","-72.996232","354","Europe/Dublin","S","Asia/Calcutta"
"170","North Thomasmouth Airport","North Thomasmouth","Reunion","PVO","VIQD","-79.167324","124.611082","736","Africa/Brazzaville","A","Asia/Calcutta"
"171","West Karen Airport","West Karen","Sweden","FNB","CWDA","14.079669","53.233544","708","Europe/Berlin","A","Europe/Budapest"
"172","Port Clarence Airport","Port Clarence","Central African Republic","QIP","RFOB","80.5933825","-100.787543","434","Asia/Karachi","S","Asia/Rangoon"
"173","Ruizborough Airport","Ruizborough","Burkina Faso","PRE","GAUZ","-20.9115625","84.972779","662","America/Lima","N","Asia/Dushanbe"
"174","Jaimeside Airport","Jaimeside","Costa Rica","PPB","UKHD","75.205262","108.460713","589","Europe/Riga","A","Africa/Monrovia"
"175","Eatonhaven Airport","Eatonhaven","Dominican Republic","FJO","CLJE","23.9392095","177.031529","695","Africa/Kampala","Z","America/Guatemala"
"176","South Robertbury Airport","South Robertbury","Finland","BBX","ZBWX","30.892643","115.884802","104","Pacific/Palau","N","Asia/Muscat"
"177","Tiffanyborough Airport","Tiffanyborough","Andorra","YXT","KHAV","-42.655415","115.466421","635","Europe/Ljubljana","S","Asia/Jerusalem"
"178","West Alex Airport","West Alex","Libyan Arab Jamahiriya","OYN","BWYW","-45.061307","-89.823916","790","Africa/Monrovia","E","Indian/Antananarivo"
"179","South Aaronstad Airport","South Aaronstad","Cuba","ITQ","ZSBB","-73.699977","-104.773328","197","Europe/Tirane","A","Asia/Oral"
"180","Lake Julie Airport","Lake Julie","Ethiopia","PCX","KUEN","8.987428","114.149002","815","Africa/Accra","O","Africa/Ouagadougou"
"181","North Stephanieland Airport","North Stephanieland","Australia","ERF","JJSF","4.0492015","-90.194576","345","Europe/Stockholm","A","Africa/Dar_es_Salaam"
"182","Port Catherineborough Airport","Port Catherineborough","Ireland","ONX","EUBM","25.3800355","172.116042","952","Africa/Johannesburg","U","Asia/Bahrain"
"183","Jenniferland Airport","Jenniferland","Papua New Guinea","YCV","EBWU","-66.571097","7.970749","168","America/Grenada","S","Asia/Muscat"
"184","Hoganborough Airport","Hoganborough","Georgia","MDT","JYLA","-30.183005","-21.620252","668","Asia/Baghdad","O","Asia/Tokyo"
"185","Lake Patricia Airport","Lake Patricia","Azerbaijan","OKB","UQWH","-25.144462","-102.270398","829","Africa/Bamako","O","Pacific/Kosrae"
"186","South Lee Airport","South Lee","Burkina Faso","NLP","SBNA","-17.989962","25.639047","131","Africa/Porto-Novo","U","Africa/Harare"
"187","Smithshire Airport","Smithshire","Saint Barthelemy","RBR","RZXB","29.241230","166.139974","711","Africa/Kigali","E","Asia/Bangkok"
"188","Obrienfort Airport","Obrienfort","Dominican Republic","CLU","FLAY","-60.1582465","58.093572","693","America/Guatemala","Z","Europe/Belgrade"
"189","Port Matthew Airport","Port Matthew","South Africa","WWI","OSPV","1.2521735","80.578693","554","America/Argentina/San_Juan","U","America/Havana"
"190","Christopherland Airport","Christopherland","Canada","YLJ","HDZX","30.427434","-55.709184","78","Asia/Kabul","A","Indian/Maldives"
"191","South Kyleberg Airport","South Kyleberg","Guinea","SFJ","KQQT","65.3085035","-0.420770","482","Africa/Libreville","E","Atlantic/Cape_Verde"
"192","Johnsonview Airport","Johnsonview","Germany","EDN","VKMQ","22.998968","6.299817","239","America/El_Salvador","S","Asia/Vientiane"
"193","New Vickie Airport","New Vickie","Turkey","OAM","KYGV","-34.3853065","-177.213765","115","Europe/Prague","N","Asia/Karachi"
"194","Michealtown Airport","Michealtown","Puerto Rico","ABS","ESVL","-43.713745","70.974179","363","Asia/Pontianak","U","America/Grenada"
