"id","start_id","start_vertex_type","end_id","end_vertex_type","distance"
"164","1671","AirPort","302","AirPort","5959"
"165","3130","AirPort","1827","AirPort","649"
"166","3106","AirPort","75","AirPort","9053"
"167","1408","AirPort","1847","AirPort","14926"
"168","175","AirPort","1228","AirPort","8160"
"169","2971","AirPort","3324","AirPort","11310"
"170","510","AirPort","1473","AirPort","8324"
"171","1992","AirPort","1581","AirPort","492"
"172","3162","AirPort","554","AirPort","4967"
"173","177","AirPort","482","AirPort","5089"
"174","473","AirPort","2298","AirPort","306"
"175","329","AirPort","1087","AirPort","3112"
"176","2973","AirPort","680","AirPort","10287"
"177","1902","AirPort","2588","AirPort","10978"
"178","688","AirPort","2985","AirPort","2507"
"179","1966","AirPort","558","AirPort","15360"
"180","2646","AirPort","1984","AirPort","12190"
"181","2167","AirPort","1367","AirPort","15120"
"182","1037","AirPort","2513","AirPort","6413"
"183","1759","AirPort","2514","AirPort","2888"
"184","405","AirPort","1611","AirPort","9509"
"185","266","AirPort","2700","AirPort","8003"
"186","630","AirPort","1165","AirPort","4389"
"187","1326","AirPort","2954","AirPort","8275"
"188","3027","AirPort","1829","AirPort","11837"
"189","1523","AirPort","1384","AirPort","3919"
"190","3026","AirPort","3397","AirPort","1643"
"191","2078","AirPort","2604","AirPort","12823"
"192","1450","AirPort","17","AirPort","10877"
"193","989","AirPort","1004","AirPort","2139"
"194","1072","AirPort","1289","AirPort","3912"
"195","1389","AirPort","1657","AirPort","7877"
"196","784","AirPort","792","AirPort","11214"
"197","2108","AirPort","1156","AirPort","15346"
"198","3359","AirPort","2766","AirPort","11421"
"199","3332","AirPort","2865","AirPort","11772"
"200","2028","AirPort","192","AirPort","12562"
"201","1325","AirPort","3124","AirPort","11594"
"202","3061","AirPort","259","AirPort","6625"
"203","2047","AirPort","419","AirPort","6452"
"204","246","AirPort","3048","AirPort","973"
"205","695","AirPort","1643","AirPort","3946"
"206","1890","AirPort","1297","AirPort","5002"
"207","2977","AirPort","429","AirPort","4245"
"208","3271","AirPort","2168","AirPort","1597"
"209","1222","AirPort","2897","AirPort","12664"
"210","2328","AirPort","45","AirPort","7758"
"211","1601","AirPort","3080","AirPort","15993"
"212","18","AirPort","2345","AirPort","11732"
"213","2037","AirPort","168","AirPort","14717"
"214","879","AirPort","3268","AirPort","14916"
"215","707","AirPort","247","AirPort","7231"
"216","3381","AirPort","847","AirPort","13389"
"217","3203","AirPort","1624","AirPort","1130"
"218","167","AirPort","2359","AirPort","2878"
"219","3168","AirPort","543","AirPort","15842"
"220","224","AirPort","648","AirPort","3198"
"221","2838","AirPort","3212","AirPort","12796"
"222","2628","AirPort","3396","AirPort","11664"
"223","1435","AirPort","1386","AirPort","5274"
"224","264","AirPort","1974","AirPort","14059"
"225","3153","AirPort","2684","AirPort","12887"
"226","546","AirPort","622","AirPort","7521"
"227","2851","AirPort","98","AirPort","10164"
"228","584","AirPort","2188","AirPort","6471"
"229","625","AirPort","60","AirPort","5491"
"230","797","AirPort","1395","AirPort","12567"
"231","3168","AirPort","2698","AirPort","7586"
"232","928","AirPort","1051","AirPort","5851"
"233","480","AirPort","1025","AirPort","7732"
"234","1485","AirPort","2760","AirPort","13868"
"235","3379","AirPort","2395","AirPort","4472"
"236","1340","AirPort","322","AirPort","11551"
"237","2860","AirPort","2723","AirPort","1120"
"238","405","AirPort","2006","AirPort","1818"
"239","132","AirPort","2532","AirPort","11498"
"240","1727","AirPort","2850","AirPort","5567"
"241","756","AirPort","317","AirPort","15764"
"242","2889","AirPort","2836","AirPort","12819"
"243","2123","AirPort","1228","AirPort","13651"
"244","85","AirPort","2966","AirPort","6367"
"245","437","AirPort","3219","AirPort","9408"
"246","2067","AirPort","2093","AirPort","7724"
"247","629","AirPort","3266","AirPort","9297"
"248","990","AirPort","888","AirPort","10077"
"249","3128","AirPort","3020","AirPort","2806"
"250","3005","AirPort","1613","AirPort","15076"
"251","2356","AirPort","1028","AirPort","900"
"252","827","AirPort","1422","AirPort","6817"
"253","817","AirPort","2454","AirPort","3835"
"254","3085","AirPort","1360","AirPort","447"
"255","365","AirPort","323","AirPort","12664"
"256","2393","AirPort","1371","AirPort","15225"
"257","247","AirPort","1146","AirPort","8015"
"258","869","AirPort","1112","AirPort","4972"
"259","2012","AirPort","1917","AirPort","1620"
"260","2054","AirPort","2023","AirPort","11431"
"261","305","AirPort","1102","AirPort","3800"
"262","176","AirPort","1900","AirPort","14635"
"263","2864","AirPort","2073","AirPort","7984"
"264","3140","AirPort","502","AirPort","10673"
"265","550","AirPort","759","AirPort","8052"
"266","2983","AirPort","967","AirPort","6100"
"267","2564","AirPort","3473","AirPort","10849"
"268","2840","AirPort","2546","AirPort","11743"
"269","1406","AirPort","3057","AirPort","5366"
"270","3028","AirPort","746","AirPort","3714"
"271","713","AirPort","901","AirPort","9275"
"272","463","AirPort","2494","AirPort","12065"
"273","2577","AirPort","2184","AirPort","4464"
"274","3404","AirPort","1149","AirPort","1543"
"275","3318","AirPort","1168","AirPort","4607"
"276","370","AirPort","1504","AirPort","2897"
"277","2679","AirPort","2825","AirPort","15191"
"278","1578","AirPort","1006","AirPort","7836"
"279","291","AirPort","1803","AirPort","5093"
"280","984","AirPort","1840","AirPort","3940"
"281","2718","AirPort","3476","AirPort","4083"
"282","3139","AirPort","563","AirPort","8951"
"283","2022","AirPort","1909","AirPort","6656"
"284","2452","AirPort","2810","AirPort","13881"
"285","520","AirPort","1524","AirPort","11758"
"286","3126","AirPort","956","AirPort","12457"
"287","1810","AirPort","116","AirPort","13594"
"288","3132","AirPort","880","AirPort","14005"
"289","2191","AirPort","1667","AirPort","10165"
"290","866","AirPort","1021","AirPort","562"
"291","1732","AirPort","2962","AirPort","1314"
"292","2070","AirPort","3435","AirPort","15595"
"293","219","AirPort","565","AirPort","524"
"294","858","AirPort","1288","AirPort","4743"
"295","3077","AirPort","2032","AirPort","9303"
"296","669","AirPort","1427","AirPort","2349"
"297","2473","AirPort","2006","AirPort","13032"
"298","1854","AirPort","880","AirPort","13391"
"299","1169","AirPort","2619","AirPort","3885"
"300","3493","AirPort","146","AirPort","2534"
"301","408","AirPort","3123","AirPort","9535"
"302","908","AirPort","1291","AirPort","15758"
"303","2547","AirPort","1688","AirPort","9077"
"304","3253","AirPort","1461","AirPort","1810"
"305","2751","AirPort","2002","AirPort","13907"
"306","3131","AirPort","2132","AirPort","10543"
"307","2112","AirPort","2296","AirPort","8282"
"308","2683","AirPort","629","AirPort","6571"
"309","495","AirPort","2332","AirPort","12834"
"310","708","AirPort","449","AirPort","6184"
"311","1380","AirPort","1666","AirPort","7584"
"312","1956","AirPort","67","AirPort","7803"
"313","3429","AirPort","481","AirPort","3678"
"314","2730","AirPort","362","AirPort","14263"
"315","2199","AirPort","130","AirPort","5169"
"316","2836","AirPort","3271","AirPort","1754"
"317","500","AirPort","2560","AirPort","14536"
"318","3010","AirPort","2410","AirPort","6515"
"319","452","AirPort","2489","AirPort","10758"
"320","3363","AirPort","1204","AirPort","12837"
"321","1938","AirPort","395","AirPort","5544"
"322","3340","AirPort","2151","AirPort","13965"
"323","3117","AirPort","625","AirPort","13459"
"324","1587","AirPort","1225","AirPort","13865"
"325","270","AirPort","1829","AirPort","11473"
"326","239","AirPort","3150","AirPort","10230"
"327","3266","AirPort","2890","AirPort","7193"
"328","905","AirPort","2037","AirPort","3441"
"329","288","AirPort","1648","AirPort","8211"
"330","2602","AirPort","1527","AirPort","10480"
"331","2025","AirPort","1055","AirPort","13115"
"332","450","AirPort","3082","AirPort","751"
"333","2303","AirPort","2931","AirPort","11183"
"334","1655","AirPort","789","AirPort","11947"
"335","1714","AirPort","2970","AirPort","10863"
"336","1448","AirPort","479","AirPort","14681"
"337","2928","AirPort","788","AirPort","955"
"338","537","AirPort","1723","AirPort","6134"
"339","666","AirPort","3161","AirPort","13199"
"340","292","AirPort","280","AirPort","7280"
"341","1728","AirPort","3378","AirPort","11140"
"342","431","AirPort","2285","AirPort","11524"
"343","1202","AirPort","566","AirPort","12688"
"344","2228","AirPort","2800","AirPort","5445"
"345","1899","AirPort","3466","AirPort","1809"
"346","867","AirPort","1093","AirPort","2415"
"347","2697","AirPort","3423","AirPort","7270"
"348","2327","AirPort","1017","AirPort","10083"
"349","2987","AirPort","2064","AirPort","868"
"350","963","AirPort","1200","AirPort","13554"
"351","1900","AirPort","624","AirPort","15708"
"352","2942","AirPort","2159","AirPort","5762"
"353","129","AirPort","1712","AirPort","15209"
"354","3484","AirPort","908","AirPort","2907"
"355","1242","AirPort","3008","AirPort","2227"
"356","3241","AirPort","505","AirPort","3091"
"357","3457","AirPort","2458","AirPort","6277"
"358","1122","AirPort","177","AirPort","14409"
"359","2658","AirPort","1738","AirPort","10152"
"360","101","AirPort","660","AirPort","8123"
"361","2624","AirPort","2468","AirPort","605"
"362","3274","AirPort","1777","AirPort","2469"
"363","1362","AirPort","181","AirPort","5609"
"364","664","AirPort","583","AirPort","11454"
"365","1891","AirPort","2143","AirPort","8119"
"366","19","AirPort","851","AirPort","2815"
"367","1124","AirPort","3415","AirPort","8719"
"368","2740","AirPort","2046","AirPort","14220"
"369","2300","AirPort","647","AirPort","10922"
"370","104","AirPort","2674","AirPort","6076"
"371","1063","AirPort","2387","AirPort","490"
"372","2130","AirPort","511","AirPort","12094"
"373","2396","AirPort","2861","AirPort","8577"
"374","2713","AirPort","593","AirPort","9489"
"375","1209","AirPort","2523","AirPort","8547"
"376","568","AirPort","1365","AirPort","2269"
"377","3491","AirPort","3081","AirPort","3314"
"378","2701","AirPort","2100","AirPort","14872"
"379","2956","AirPort","1984","AirPort","2918"
"380","908","AirPort","3376","AirPort","3947"
"381","1321","AirPort","1329","AirPort","10109"
"382","2673","AirPort","3201","AirPort","8466"
"383","2901","AirPort","15","AirPort","13976"
"384","2273","AirPort","549","AirPort","2039"
"385","1397","AirPort","1130","AirPort","14643"
"386","1218","AirPort","1860","AirPort","12011"
"387","336","AirPort","1720","AirPort","2133"
"388","3270","AirPort","1630","AirPort","6981"
"389","1823","AirPort","196","AirPort","4605"
"390","2290","AirPort","2877","AirPort","15119"
"391","3310","AirPort","3446","AirPort","3556"
"392","3050","AirPort","3044","AirPort","3478"
"393","1147","AirPort","3007","AirPort","15568"
"394","2437","AirPort","640","AirPort","8746"
"395","2412","AirPort","262","AirPort","11322"
"396","380","AirPort","156","AirPort","9081"
"397","3347","AirPort","3279","AirPort","8066"
"398","1811","AirPort","3202","AirPort","2979"
"399","1249","AirPort","3187","AirPort","203"
"400","883","AirPort","1","AirPort","956"
"401","944","AirPort","1585","AirPort","4853"
"402","1138","AirPort","325","AirPort","1685"
"403","2261","AirPort","1062","AirPort","5177"
"404","3371","AirPort","1586","AirPort","2908"
"405","3368","AirPort","2364","AirPort","1641"
"406","364","AirPort","979","AirPort","5648"
"407","506","AirPort","2709","AirPort","5219"
"408","2046","AirPort","2460","AirPort","6098"
"409","391","AirPort","3397","AirPort","14366"
"410","3111","AirPort","2066","AirPort","2301"
"411","2580","AirPort","1125","AirPort","3779"
"412","1123","AirPort","1434","AirPort","11206"
"413","1629","AirPort","512","AirPort","3706"
"414","365","AirPort","3203","AirPort","11812"
"415","2977","AirPort","2847","AirPort","7559"
"416","3389","AirPort","137","AirPort","13735"
"417","3109","AirPort","1681","AirPort","7486"
"418","1455","AirPort","1693","AirPort","2333"
"419","1481","AirPort","2591","AirPort","11573"
"420","1104","AirPort","3353","AirPort","11774"
"421","1218","AirPort","3386","AirPort","576"
"422","584","AirPort","373","AirPort","1761"
"423","3419","AirPort","1110","AirPort","14139"
"424","2204","AirPort","162","AirPort","5548"
"425","2651","AirPort","1575","AirPort","9352"
"426","2900","AirPort","660","AirPort","9564"
"427","265","AirPort","1624","AirPort","12038"
"428","1284","AirPort","2906","AirPort","12911"
"429","315","AirPort","2602","AirPort","2372"
"430","2257","AirPort","2060","AirPort","13243"
"431","1622","AirPort","2833","AirPort","15828"
"432","3408","AirPort","1284","AirPort","1613"
"433","1402","AirPort","1400","AirPort","10945"
"434","1883","AirPort","436","AirPort","8799"
"435","431","AirPort","3364","AirPort","12538"
"436","2890","AirPort","2886","AirPort","13778"
"437","2200","AirPort","1821","AirPort","2462"
"438","1365","AirPort","1720","AirPort","9855"
"439","1008","AirPort","698","AirPort","6595"
"440","1029","AirPort","1349","AirPort","5510"
"441","1522","AirPort","729","AirPort","159"
"442","3047","AirPort","611","AirPort","4256"
"443","372","AirPort","1733","AirPort","4010"
"444","1582","AirPort","215","AirPort","3573"
"445","2494","AirPort","519","AirPort","1041"
"446","2597","AirPort","2299","AirPort","5854"
"447","98","AirPort","1234","AirPort","11971"
"448","366","AirPort","298","AirPort","4126"
"449","1882","AirPort","122","AirPort","6221"
"450","112","AirPort","1906","AirPort","320"
"451","706","AirPort","3184","AirPort","12968"
"452","3346","AirPort","1168","AirPort","12200"
"453","923","AirPort","2869","AirPort","10725"
"454","2258","AirPort","1864","AirPort","8063"
"455","63","AirPort","2029","AirPort","14038"
"456","1550","AirPort","796","AirPort","5121"
"457","2902","AirPort","298","AirPort","7643"
"458","1978","AirPort","3107","AirPort","9894"
"459","2112","AirPort","2487","AirPort","15393"
"460","2616","AirPort","661","AirPort","8953"
"461","1017","AirPort","2959","AirPort","4291"
"462","2042","AirPort","2968","AirPort","12265"
"463","3321","AirPort","1761","AirPort","2159"
"464","825","AirPort","2861","AirPort","15620"
"465","737","AirPort","2185","AirPort","14914"
"466","2224","AirPort","3193","AirPort","4071"
"467","2621","AirPort","1108","AirPort","13617"
"468","3087","AirPort","2745","AirPort","15775"
"469","501","AirPort","2552","AirPort","10513"
"470","3035","AirPort","3336","AirPort","3686"
"471","2583","AirPort","117","AirPort","6561"
"472","2975","AirPort","938","AirPort","11348"
"473","1917","AirPort","613","AirPort","8212"
"474","278","AirPort","1292","AirPort","14291"
"475","280","AirPort","2263","AirPort","3417"
"476","465","AirPort","511","AirPort","14311"
"477","1964","AirPort","2132","AirPort","2168"
"478","1264","AirPort","1857","AirPort","7390"
"479","1742","AirPort","3145","AirPort","4783"
"480","21","AirPort","3422","AirPort","2429"
"481","1055","AirPort","296","AirPort","5543"
"482","1988","AirPort","2301","AirPort","6532"
"483","3416","AirPort","112","AirPort","11783"
"484","626","AirPort","1097","AirPort","2185"
"485","2296","AirPort","2030","AirPort","2545"
"486","2416","AirPort","1478","AirPort","263"
"487","1323","AirPort","1338","AirPort","8884"
"488","1074","AirPort","396","AirPort","11350"
"489","2968","AirPort","798","AirPort","5263"
"490","1974","AirPort","3298","AirPort","3663"
"491","1227","AirPort","777","AirPort","10385"
"492","1846","AirPort","1710","AirPort","7031"
"493","1408","AirPort","2552","AirPort","9467"
"494","530","AirPort","436","AirPort","12395"
"495","657","AirPort","3161","AirPort","15498"
"496","606","AirPort","165","AirPort","8962"
"497","563","AirPort","3099","AirPort","13090"
"498","2503","AirPort","340","AirPort","10883"
"499","136","AirPort","2021","AirPort","13829"
"500","3165","AirPort","1970","AirPort","11825"
"501","2552","AirPort","2122","AirPort","9040"
"502","169","AirPort","168","AirPort","649"
"503","2489","AirPort","3117","AirPort","15718"
"504","3322","AirPort","1317","AirPort","13205"
"505","1297","AirPort","1947","AirPort","11644"
"506","3010","AirPort","800","AirPort","4859"
"507","192","AirPort","465","AirPort","8560"
"508","471","AirPort","1262","AirPort","8873"
"509","2293","AirPort","484","AirPort","11298"
"510","2418","AirPort","2828","AirPort","6150"
"511","46","AirPort","1175","AirPort","9329"
"512","843","AirPort","1588","AirPort","4766"
"513","646","AirPort","1062","AirPort","11361"
"514","3158","AirPort","109","AirPort","7637"
"515","1770","AirPort","2852","AirPort","12107"
"516","1653","AirPort","1265","AirPort","2446"
"517","1782","AirPort","1876","AirPort","11498"
"518","2976","AirPort","547","AirPort","8689"
"519","1425","AirPort","3289","AirPort","13238"
"520","2094","AirPort","1096","AirPort","9572"
"521","2847","AirPort","525","AirPort","2340"
"522","385","AirPort","2227","AirPort","157"
"523","513","AirPort","2948","AirPort","6969"
"524","43","AirPort","519","AirPort","9971"
"525","2378","AirPort","1559","AirPort","11627"
"526","1032","AirPort","522","AirPort","5275"
"527","1578","AirPort","652","AirPort","7716"
"528","3121","AirPort","2901","AirPort","1694"
"529","195","AirPort","612","AirPort","10875"
"530","946","AirPort","2745","AirPort","14309"
"531","113","AirPort","1519","AirPort","13290"
"532","1702","AirPort","440","AirPort","13287"
"533","595","AirPort","1315","AirPort","3056"
"534","2730","AirPort","3172","AirPort","4779"
"535","2601","AirPort","2619","AirPort","13130"
"536","3261","AirPort","91","AirPort","8800"
"537","3440","AirPort","703","AirPort","2327"
"538","2928","AirPort","2235","AirPort","5608"
"539","3440","AirPort","800","AirPort","7359"
"540","2749","AirPort","859","AirPort","14467"
"541","3465","AirPort","1199","AirPort","11019"
"542","2807","AirPort","733","AirPort","7696"
"543","967","AirPort","624","AirPort","5118"
"544","3009","AirPort","2301","AirPort","9003"
"545","2988","AirPort","1189","AirPort","8516"
"546","1306","AirPort","2348","AirPort","12998"
"547","1775","AirPort","3152","AirPort","2124"
"548","2022","AirPort","1419","AirPort","10926"
"549","2541","AirPort","1755","AirPort","1055"
"550","3409","AirPort","1194","AirPort","13999"
"551","2170","AirPort","1348","AirPort","6466"
"552","3442","AirPort","2076","AirPort","6280"
"553","3443","AirPort","2489","AirPort","5614"
"554","1282","AirPort","3417","AirPort","10458"
"555","1695","AirPort","257","AirPort","13232"
"556","303","AirPort","2383","AirPort","1010"
"557","2406","AirPort","2860","AirPort","14146"
"558","2711","AirPort","1360","AirPort","480"
"559","1514","AirPort","2149","AirPort","9830"
"560","1542","AirPort","3184","AirPort","3518"
"561","2862","AirPort","1645","AirPort","14381"
"562","2710","AirPort","3069","AirPort","2189"
"563","1689","AirPort","2353","AirPort","6905"
"564","3067","AirPort","1975","AirPort","9863"
"565","1838","AirPort","812","AirPort","10836"
"566","2698","AirPort","1076","AirPort","5964"
"567","1491","AirPort","2740","AirPort","14024"
"568","1433","AirPort","2643","AirPort","12976"
"569","1397","AirPort","1955","AirPort","4431"
"570","2452","AirPort","2992","AirPort","8689"
"571","3450","AirPort","522","AirPort","2888"
"572","360","AirPort","707","AirPort","1849"
"573","3063","AirPort","277","AirPort","8839"
"574","2542","AirPort","915","AirPort","6607"
"575","1645","AirPort","1180","AirPort","182"
"576","2343","AirPort","1186","AirPort","1628"
"577","1328","AirPort","1284","AirPort","7315"
"578","2533","AirPort","58","AirPort","11204"
"579","2540","AirPort","1704","AirPort","15929"
"580","675","AirPort","2444","AirPort","12886"
"581","2398","AirPort","2683","AirPort","7900"
"582","2568","AirPort","1441","AirPort","189"
"583","1709","AirPort","3198","AirPort","3012"
"584","2013","AirPort","3035","AirPort","7223"
"585","3088","AirPort","2148","AirPort","8043"
"586","1810","AirPort","3194","AirPort","3341"
"587","2624","AirPort","2873","AirPort","11289"
"588","1549","AirPort","3448","AirPort","11737"
"589","1757","AirPort","324","AirPort","10148"
"590","50","AirPort","608","AirPort","4813"
"591","2861","AirPort","1520","AirPort","13337"
"592","3273","AirPort","1962","AirPort","15731"
"593","1621","AirPort","3105","AirPort","1042"
"594","490","AirPort","1441","AirPort","13065"
"595","1769","AirPort","3144","AirPort","4746"
"596","3354","AirPort","2936","AirPort","6765"
"597","1411","AirPort","1757","AirPort","6392"
"598","114","AirPort","3367","AirPort","9811"
"599","1337","AirPort","174","AirPort","13316"
"600","2226","AirPort","550","AirPort","7887"
"601","850","AirPort","1556","AirPort","810"
"602","3135","AirPort","2283","AirPort","7757"
"603","3259","AirPort","419","AirPort","521"
"604","2294","AirPort","3136","AirPort","12928"
"605","2290","AirPort","1021","AirPort","5625"
"606","1198","AirPort","563","AirPort","13660"
"607","2649","AirPort","1342","AirPort","8717"
"608","3259","AirPort","3267","AirPort","3456"
"609","3009","AirPort","1897","AirPort","8094"
"610","2970","AirPort","1048","AirPort","3409"
"611","982","AirPort","1304","AirPort","2250"
"612","928","AirPort","2617","AirPort","12369"
"613","2071","AirPort","1884","AirPort","11226"
"614","2237","AirPort","93","AirPort","15831"
"615","2880","AirPort","2892","AirPort","5280"
"616","2661","AirPort","2082","AirPort","2190"
"617","990","AirPort","1810","AirPort","11974"
"618","663","AirPort","257","AirPort","5068"
"619","3186","AirPort","1102","AirPort","2426"
"620","2233","AirPort","318","AirPort","10655"
"621","2307","AirPort","605","AirPort","5795"
"622","617","AirPort","574","AirPort","316"
"623","257","AirPort","2513","AirPort","3774"
