"id","Name","Latitude","Longitude"
"63","Hillshire","55.0956805","139.126572"
"64","Langborough","36.1438485","-42.238019"
"65","Reedchester","-78.951683","116.675905"
"66","West Heathertown","-44.5407435","122.292205"
"67","Allisonland","-60.299166","153.900585"
"68","West Travis","77.682985","109.368826"
"69","East Barbaramouth","79.0597095","108.382077"
"70","South Dannymouth","-6.1444535","178.559933"
"71","North Gabrielahaven","54.1017075","-47.743905"
"72","South Danahaven","-41.699747","-116.580508"
"73","Edwardmouth","41.488393","-68.391214"
"74","Meyerland","31.2056185","-50.214400"
"75","Thompsontown","-11.618571","78.707893"
"76","South Alicia","-64.707634","-161.473626"
"77","Francoport","-13.7556495","-23.697011"
"78","Bullockborough","68.228613","85.846490"
"79","North Kimberly","24.1623945","39.057071"
"80","Barnestown","60.9986245","65.353084"
"81","Port Heather","8.399573","68.146282"
"82","Angelamouth","-9.808697","173.705751"
"83","Morganberg","79.4233985","77.542418"
"84","Port Seanport","77.6048505","103.523823"
"85","Masonview","-20.856447","-25.929279"
"86","Port Traci","62.224809","49.817719"
"87","Gordonberg","-22.605013","141.307555"
"88","North Carolyn","83.1304125","-53.574978"
"89","Myerstown","9.8863125","-103.878547"
"90","South Jeffreyshire","13.568680","55.128721"
"91","Alexanderbury","-2.803969","106.089821"
"92","Lorimouth","-72.009017","36.854326"
"93","South Katherine","-79.0193545","-172.769716"
"94","Powellmouth","72.277260","27.228157"
"95","Priceborough","32.108997","3.180042"
"96","Banksland","38.5072575","-14.311853"
"97","Isabelbury","71.071205","54.635526"
"98","New Elizabethmouth","-50.9793855","-11.693215"
"99","North Travis","-63.443645","9.741316"
"100","Blakeberg","54.532791","-26.963169"
"101","Clarkmouth","-30.293702","-47.981354"
"102","West Randy","68.387659","3.539581"
"103","North Elizabethfort","-57.5701755","-127.536113"
"104","Langview","56.182387","-75.400664"
"105","Port Steven","-43.263253","-71.774904"
"106","New Barbarachester","47.1674105","147.188112"
"107","Lake Stephenborough","-75.586957","-43.768381"
"108","East Michelleberg","9.138804","1.342309"
"109","North Melindamouth","64.7910605","168.008818"
"110","Lake Sharonside","-76.176030","142.266163"
"111","New Mary","-50.6742945","159.131727"
"112","Lake Gina","80.8989765","92.065663"
"113","Anthonybury","-55.707089","63.735099"
"114","Cooperborough","69.584527","50.930672"
"115","Kimberlyborough","61.600055","-158.820601"
"116","New Megan","24.246116","-36.440775"
"117","East Paulchester","38.0658335","136.826430"
"118","Williamburgh","56.871676","30.529361"
"119","Wilsonport","50.5940345","12.801879"
"120","Harperbury","86.242758","45.489556"
"121","Garcialand","-77.246554","-57.671383"
"122","Curtisshire","67.782860","45.771207"
"123","New Crystalside","-65.7730275","111.657238"
"124","North Patrick","-5.9679315","-153.487256"
"125","New Bridget","76.312856","-99.424708"
"126","North Edward","-78.6922775","-177.103398"
"127","Fordfurt","-14.224152","55.982459"
"128","Port Cody","83.630727","99.187190"
"129","Helenfurt","-58.567153","-161.094607"
"130","Lake Kyleport","-41.794370","177.229599"
"131","Lake Matthewtown","-60.977974","-17.001486"
"132","Colemanshire","-44.2318375","126.421838"
"133","Youngville","-42.148894","2.453227"
"134","Garyview","20.0334725","-53.390734"
"135","East Kristen","45.009733","155.147005"
"136","Mirandaview","20.1737275","50.079199"
"137","Branchbury","64.595862","-117.785320"
"138","New Lucasmouth","-71.194544","-10.370473"
"139","Port Jennifer","-34.817647","-105.958877"
"140","Taylorland","-10.8606055","-8.768758"
"141","Jeremyburgh","1.2035395","-171.475552"
"142","Barbaraside","-36.090475","140.919959"
"143","Port Jacquelinebury","77.3765445","-117.979819"
"144","New Jamesberg","-11.623402","-82.618168"
"145","South Catherine","-74.7899785","9.094681"
"146","Clarkshire","-23.314919","78.184693"
"147","West Michael","27.6674585","-67.954699"
"148","New Jennifer","-17.759728","-158.706285"
"149","South Kurt","-54.3520725","-49.893071"
"150","East Joseph","-42.266679","52.633153"
"151","Tarafort","88.666602","-14.167754"
"152","Lake Robertberg","-85.681193","-170.184375"
"153","South Brandonbury","-77.378301","156.208120"
"154","New Deniseton","82.9456235","-175.798628"
"155","Charlesshire","47.0510945","-14.358244"
"156","Tammyburgh","-87.1756325","-86.763295"
"157","East John","72.854668","64.869871"
"158","Wendystad","69.684131","100.828122"
"159","Josephbury","-17.625745","178.745038"
"160","East Jamiefurt","55.064970","-55.420163"
"161","Lake Amber","10.032240","-98.555626"
"162","East Amyfurt","-75.186462","119.576984"
"163","Mitchellmouth","17.6745505","-143.362694"
"164","East Carrieville","-89.6929515","41.079947"
"165","Barneston","-26.343873","106.994006"
"166","East Mauriceburgh","28.328793","-179.490367"
"167","South Howard","-51.7469165","-56.521486"
"168","Ericton","-82.3716205","-89.677876"
"169","West Mark","0.364518","139.139236"
"170","North Nicholas","17.0943995","126.728160"
"171","East Taraview","88.7487055","-132.202817"
"172","Lake Shane","10.662679","-159.252343"
"173","Angelahaven","48.1204405","-140.437634"
"174","North Ashley","-5.2362455","48.653759"
"175","Wolffurt","-48.534095","86.515170"
"176","Horneside","35.749247","130.396289"
"177","Kathrynstad","24.687856","169.899725"
"178","Rogersbury","-83.532083","-171.595540"
"179","Port Alyssafort","-89.1528725","18.892228"
"180","Williamsborough","22.731674","122.021466"
"181","Rodriguezbury","-33.7485015","-118.654399"
"182","New Maryville","-13.319458","-16.894067"
"183","Jonesburgh","-50.9069595","-123.662362"
"184","Acevedoborough","-33.4412025","25.906952"
"185","Lake Julianhaven","19.7488075","-75.163026"
"186","South Donaldshire","-48.6457215","176.676334"
"187","Lake Katrinashire","86.5707375","138.561351"
"188","East Seanstad","-35.1266785","-113.323789"
"189","East Tammymouth","-63.9108235","-99.345945"
"190","North Elizabethville","-33.908622","75.329626"
"191","Joemouth","-12.6965445","-54.704745"
"192","Blevinschester","-57.372425","110.637385"
"193","New Jeffrey","21.6665295","160.739639"
"194","North Amanda","-41.038938","-78.043094"
"195","East Kristinfurt","77.988000","-9.280478"
"196","East Toddberg","-16.4596025","98.120631"
"197","Jenkinsside","63.203739","-116.410241"
"198","Lake Lucas","-70.5200505","-16.127985"
"199","Noahmouth","-59.475127","54.940272"
"200","Wardton","19.2781305","-122.136411"
"201","North Kimberly","-71.2486715","75.629711"
"202","Port Christopherview","20.3840745","54.659492"
"203","West Stevenburgh","-22.2233165","-163.030423"
"204","Jenkinsberg","73.7256885","159.998934"
"205","Cassandraberg","-58.0506425","-116.237487"
"206","Jacobborough","83.4541125","159.995086"
"207","West Philiphaven","-45.8843425","-169.569665"
"208","Amandaside","1.9233155","-1.508265"
"209","Pattersonfort","-75.613520","-135.297215"
"210","West Warren","-11.353117","33.857848"
"211","Pattonside","39.9588435","-97.086191"
"212","Stevenhaven","-85.496117","-43.371034"
"213","Port Tony","35.5143305","52.424185"
"214","South Davidside","-50.382919","89.804414"
"215","West Jeanettehaven","-84.3262855","-86.397593"
"216","Rangelborough","-78.1051205","15.730958"
"217","Christopherview","-40.7106535","139.378484"
"218","Ronaldberg","-79.4781575","-53.563549"
"219","New Madisonberg","84.3254135","92.872780"
"220","Danielland","53.8115895","94.013869"
"221","West Stephanie","-7.4786935","-40.463951"
"222","Dannyburgh","10.7004265","50.221084"
"223","South Calvinfort","60.4514205","-89.367364"
"224","Michaelmouth","-7.7190185","106.425098"
"225","Chenstad","74.3633625","40.639717"
"226","Stanleyborough","-5.4394445","74.352271"
"227","Port Joseph","43.8769195","-15.392393"
"228","Hughesburgh","-65.669247","-64.956902"
"229","Floresfurt","-22.962783","174.279806"
"230","North John","39.131991","167.758674"
"231","Wardville","53.3221545","-78.729396"
"232","Baileyfurt","-14.3213215","-120.638492"
"233","Annahaven","-58.3528855","-86.686551"
"234","Adamston","-41.561958","92.177320"
"235","Nathanshire","-19.3882405","139.746665"
"236","Jennifermouth","22.9597665","23.337536"
"237","Williamsstad","37.859057","-43.437797"
"238","North Meagan","-49.642653","-27.952166"
"239","Chenmouth","-70.547587","-4.234564"
"240","New Deannaborough","7.682124","-126.677922"
"241","Jessicamouth","34.847174","-53.663611"
"242","East Janet","-89.4424415","-35.027683"
"243","Rogerston","56.6101415","-12.712900"
"244","Lake Jonathanfurt","31.949139","-178.366319"
"245","East George","-25.3629035","163.090418"
"246","North David","-53.119876","31.006163"
"247","East Curtis","-63.9729785","-49.012705"
"248","Chloestad","66.9300325","51.780509"
"249","Dawnchester","-45.056442","3.210540"
"250","Lake Mary","-86.198710","16.713813"
"251","Brownberg","75.749549","-2.713695"
"252","North Joseph","-17.7628855","-144.944879"
"253","Lake Justin","-30.1634495","-34.709470"
"254","Port Lisa","-64.973075","123.366360"
"255","Smithville","81.6084985","122.373623"
"256","Brentfort","19.9520855","-166.593238"
"257","South Maria","-55.0452005","-32.984975"
"258","Elizabethmouth","37.451517","179.272360"
"259","Ryanville","4.3386165","60.867231"
"260","Greenfurt","55.1490145","-54.234249"
"261","North Randyburgh","69.8643025","146.965478"
"262","East Patricia","-88.979490","-9.180349"
"263","Lambertfort","-24.734916","130.975521"
"264","New Martha","45.1494615","-88.576814"
"265","Jimmyshire","-9.477109","-166.733654"
"266","New Christophermouth","40.212948","121.154655"
"267","Lake Jessicahaven","-4.642894","27.547803"
"268","Leslieborough","-31.983242","-103.156604"
"269","Port Jessicaport","-59.384600","-132.519303"
"270","Christopherchester","28.4275765","-8.727205"
"271","Burnsfurt","61.5548085","-105.336179"
"272","Matthewville","-38.8657835","139.653686"
"273","Mayshire","15.129714","56.664436"
"274","Port Dwayne","44.5083245","107.645188"
"275","Lucaston","72.7192825","-120.324395"
"276","Josephton","-27.0867775","-115.327620"
"277","Port Maryland","53.4856255","163.898161"
"278","Emmaburgh","-15.276523","18.452775"
"279","East Scottchester","-65.808778","-120.881045"
"280","South Marcuschester","9.5570845","-61.110776"
"281","South Marieshire","-85.757519","174.213836"
"282","Port Benjaminview","3.018888","-85.830943"
"283","Lake Heatherville","55.2333395","-164.312895"
"284","Lake Kellyport","-77.3813155","160.216040"
"285","Fordport","-87.160769","39.138909"
"286","West Brendaborough","-86.792476","59.092380"
"287","Mcgrathport","-27.3935775","95.331830"
"288","North Robert","-28.6712305","48.567936"
"289","West Jessicahaven","9.756895","-61.156112"
"290","Thomasfort","-72.179709","124.399763"
"291","South Troy","-58.3419605","-127.854612"
"292","South Victoriachester","40.834173","86.678050"
"293","Brianmouth","18.1309185","131.681008"
"294","Port Daniel","33.6101455","130.050141"
"295","Walterstad","23.722432","100.850362"
"296","Lake Caitlin","75.874372","-48.439173"
"297","Lake Justinburgh","-85.9099455","12.361918"
"298","Michaelmouth","10.2397465","144.720830"
"299","Port John","-75.114539","179.919626"
"300","Derrickshire","-5.3766445","81.472843"
"301","North Kenneth","-23.1391695","63.437764"
"302","Rossview","-56.711205","-18.020359"
"303","Greenberg","39.2275665","-30.008495"
"304","Wendymouth","-25.5903855","-40.773551"
"305","Wallaceshire","-5.5486935","-78.346202"
"306","Robersonhaven","11.813377","138.203895"
"307","Skinnerland","36.8527145","94.588085"
"308","Port Andrewview","66.9909745","42.110192"
"309","North Barry","30.6622435","-58.921015"
"310","North Joseph","-16.8277905","21.758190"
"311","Parksville","-15.676686","126.960836"
"312","North Billyton","61.7623135","-129.591573"
"313","Andreburgh","-84.471046","-83.205279"
"314","North Sean","77.8100955","-37.911360"
"315","East Patrickhaven","89.005182","16.204678"
"316","Port Samantha","-76.185179","45.666196"
"317","South Matthewland","89.672113","71.614599"
"318","New Barbara","-61.259761","93.428713"
"319","Edwardsmouth","-36.3883695","-127.937313"
"320","East Wendy","-1.5465485","-59.557292"
"321","South Jessica","-51.2449015","99.829549"
"322","Melissaburgh","71.520740","-173.740578"
"323","New Robertbury","-12.1924235","-69.306544"
"324","Haleyview","81.408894","91.378381"
"325","South Willie","42.8108445","166.690396"
"326","New Zacharymouth","-79.0794175","10.757384"
"327","Lake Alyssa","-27.604372","151.753535"
"328","Stevensmouth","-35.3734895","-74.532324"
"329","Ryanborough","-43.4474975","139.888793"
"330","Leviberg","57.5794605","-48.307999"
"331","Nguyenview","27.305345","-43.908641"
"332","New Fred","46.2183565","159.560990"
"333","South Briannaton","-81.971137","179.513823"
"334","Ellischester","89.0965545","-8.718581"
"335","East Deborahport","79.265783","175.878851"
"336","East Jameschester","15.4814725","-81.336230"
"337","Lake Bruce","75.553022","138.767460"
"338","North Allisonberg","-17.867425","-110.447547"
"339","North Ryan","-37.667596","109.305115"
"340","South Cynthia","-65.7847055","-140.443728"
"341","Kellytown","84.4395515","13.562661"
"342","Timothyhaven","48.2010865","-104.206050"
"343","North Lisa","51.489137","131.661299"
"344","North Tomhaven","75.3527295","118.431480"
"345","Angelaborough","57.036766","18.022585"
"346","Parkerfort","42.069545","-54.166681"
"347","North Leslie","28.510360","136.855621"
"348","Bradfordberg","81.617965","178.635076"
"349","Davisbury","-43.169443","106.529201"
"350","West Lisa","56.6185585","-11.815321"
"351","Houstonton","-69.783075","88.814652"
"352","Daughertyton","-85.4677295","128.386699"
"353","Whitakerhaven","0.752331","-90.179339"
"354","Lake Juliaview","-70.448408","96.601058"
"355","North Sydney","5.405274","-157.012440"
"356","Patriciaville","-53.846163","24.681345"
"357","Carterbury","-23.2595885","-12.523385"
"358","Lake Cory","89.1986015","153.986261"
"359","Nicholehaven","43.175870","-125.423622"
"360","Michaelberg","36.9601705","-38.169978"
"361","Hannahmouth","31.3129395","121.921809"
"362","Lake Theresahaven","7.4960625","-132.721775"
"363","West Alexa","-7.153457","-4.765453"
"364","Christopherfort","73.337389","-1.582853"
"365","New Nicoletown","83.696855","67.524701"
"366","South Timothyshire","-35.6658595","27.325417"
"367","Lake Donna","48.798027","168.713956"
"368","Thompsonville","26.063872","-66.874882"
"369","Wilsonland","57.2688995","112.524867"
"370","Tinashire","32.738370","120.993105"
"371","Kimberlystad","73.517189","-71.674499"
"372","Lake Wesleyshire","-15.283530","41.592227"
"373","Perezfort","76.6127995","163.312289"
"374","North Davidview","-34.3832695","-153.172694"
"375","Erikhaven","-31.1895365","105.265135"
"376","Brownfort","85.051693","-32.774420"
"377","North Melissa","-86.3972995","119.891576"
"378","Adkinsland","-83.0948045","-28.033511"
"379","Port Michaelberg","-39.4114125","61.864357"
"380","North Miranda","-15.488150","-122.423854"
"381","Port Diane","63.932577","-5.661314"
"382","Jennatown","-30.981444","-115.168462"
"383","North Alexanderfort","66.8828235","-19.096743"
"384","East Johntown","13.7602535","66.112811"
"385","Bellfurt","-27.354751","36.037234"
"386","Thomasberg","-76.876247","-122.394902"
"387","East Christian","30.9276635","-141.988516"
"388","Bullockchester","16.610710","133.481647"
"389","North Michelleborough","-79.5649585","-170.224739"
"390","Stevenshire","58.935854","-37.287246"
"391","Cassandraville","-26.877924","-99.357914"
"392","East Angelabury","-46.7104565","-58.455978"
"393","New Anthonyberg","2.5681475","-122.547460"
"394","Mooreview","17.685775","57.903735"
"395","Jonfurt","50.629807","-150.022781"
"396","New Timothychester","54.5431975","-3.503642"
"397","Yuport","-12.5829675","56.870796"
"398","Codyborough","84.161110","-100.161376"
"399","Matthewbury","-48.532759","-33.483508"
"400","Jenniferbury","-53.003921","-130.553346"
"401","Lake Jeffreyfort","55.2879585","18.144452"
"402","East Stephanie","59.998973","64.832807"
"403","New Dorothy","-5.2329765","-149.456268"
"404","South Joseph","34.3565665","-144.864370"
"405","Lake Marystad","83.4113775","80.196992"
"406","Michaelport","34.1226005","113.864254"
"407","Vincentton","-59.565658","45.780913"
"408","Racheltown","-85.575024","-98.756112"
"409","Franklinside","-42.8953905","39.665157"
"410","Valerieland","2.1140295","-73.391982"
"411","New Donaldmouth","-46.675374","-57.137976"
"412","Wrightfort","57.487908","137.062692"
"413","Courtneyview","-21.6507865","111.182292"
"414","Reedland","-54.4853075","90.923629"
"415","North Michael","-13.0006295","-76.586718"
"416","North Tinaland","-16.650052","155.066514"
"417","Clarkshire","-34.3245645","-53.893717"
"418","New Susanshire","18.375431","-141.874946"
"419","Lisaport","-35.314831","-104.857937"
"420","Jacksonville","-84.2727565","-6.628868"
"421","Kimberlychester","-30.910952","82.306727"
"422","West Lindsayside","-16.487132","106.744833"
"423","New Matthew","-42.0702615","-137.758604"
"424","East Amanda","-22.624634","170.480904"
"425","Port Maria","-50.4533055","-60.595158"
"426","South Brittanyside","-75.3839075","116.818547"
"427","Hughesside","-85.3067305","-91.785571"
"428","Pettymouth","61.5501625","74.166511"
"429","Port Jessicamouth","68.137308","-135.388806"
"430","North Joann","-65.5125505","-135.441065"
"431","Amberchester","-74.691238","-132.688751"
"432","Lake Judithmouth","-29.3675195","-139.996500"
"433","North John","18.0887505","-84.242348"
"434","Mooremouth","-84.334120","-139.675508"
"435","Jonathanview","27.949796","82.258874"
"436","New Jade","-3.837493","114.614650"
"437","Lake Edwardfort","-86.0269595","-131.412759"
"438","Wilsonville","-26.1308295","51.489216"
"439","Roseville","41.6586535","-111.338473"
"440","Tanyashire","49.060926","-59.812474"
"441","South Carriebury","23.003837","-112.728621"
"442","Lisamouth","57.2344425","-163.705921"
"443","New Amandamouth","66.082776","160.989452"
"444","Lake Emilyton","-31.1984375","178.861851"
"445","Sweeneyland","46.282355","135.085474"
"446","Martinburgh","-81.1501705","-144.823752"
"447","Markton","-75.0400735","-13.307674"
"448","East Andrewside","27.9151465","-108.496103"
"449","Haleyborough","80.695368","67.693270"
"450","Port Jessica","34.8637995","-177.516387"
"451","Jonathanborough","62.292776","-49.557754"
"452","Lake Ebonyshire","85.5922875","82.324135"
"453","Nguyenbury","49.111268","-123.915869"
"454","New Mariah","-28.4911905","-52.536787"
"455","Paulville","1.374271","-52.759045"
"456","Scottbury","66.0644025","-47.065164"
"457","West Joe","-51.405417","-50.869897"
"458","South Krista","-85.9771275","-150.932176"
"459","Thomasview","65.2655145","32.178471"
"460","Mollyberg","-19.333995","-17.463361"
"461","Darrylberg","-13.609429","142.314790"
"462","North Brent","84.080759","109.627916"
"463","West Derek","-21.2718955","19.500632"
"464","East Lauren","-81.043171","138.341418"
"465","Matthewstad","29.2255555","-89.087868"
"466","East Jadeborough","-89.5380675","-171.143287"
"467","Michaelfort","-86.1299895","-121.653685"
"468","Ericborough","-13.851669","-177.810725"
"469","New Charlesfurt","66.4418135","164.852738"
"470","Lake Karenberg","-12.4025475","134.902926"
"471","Sandrabury","-83.6634215","-2.142809"
"472","South Noahtown","-73.556406","-108.236092"
"473","North Jamesmouth","-82.8086645","90.037878"
"474","Nicoleview","84.4389915","-87.732613"
"475","Mccannmouth","-58.500995","37.409812"
"476","North Bruceland","-13.288140","86.391550"
"477","South Jasmine","19.186952","166.919067"
"478","North Justin","46.2460545","147.127154"
"479","Michelleberg","81.7125265","19.755934"
"480","Deniseberg","66.909952","115.114278"
"481","Wintersport","-13.893965","-88.962174"
"482","Lake Amandaport","-82.5099485","-108.598269"
"483","Port Jared","-74.466242","-105.193159"
"484","Ibarrafurt","-7.415838","-148.074842"
"485","Port Brittanyville","28.3874715","158.326493"
"486","East Felicia","32.5281245","115.708472"
"487","Williammouth","-31.9144065","-21.880524"
"488","Taylorland","73.352973","132.777347"
"489","Barronborough","-6.2365475","-68.085553"
"490","West Brendanmouth","31.3875015","95.360785"
"491","Millerland","-55.2011785","109.505172"
"492","North Travismouth","-61.511090","-85.943940"
"493","Phillipsfurt","48.272249","71.267782"
"494","New Madisonbury","3.8459495","28.659516"
"495","Port Joyceburgh","54.358506","-10.653413"
"496","Port Kristabury","-60.738907","117.601113"
"497","Timothyhaven","-43.608410","53.184803"
"498","North Jasonmouth","-69.192977","26.193242"
"499","North Rhondahaven","-54.979607","81.342018"
"500","New Amber","-68.463823","115.736128"
"501","Port Madisonchester","27.1470075","90.439823"
"502","New Kristen","74.939955","-176.061417"
"503","North Kellimouth","11.2344235","-42.039623"
"504","Port Elizabethburgh","-52.0708495","-170.869550"
"505","Lake Christine","61.0872485","153.446975"
"506","Gallegosstad","19.993763","-144.784305"
"507","Lake Daniellehaven","55.3758655","-96.639096"
"508","North Glenn","-55.4650105","131.074728"
"509","East Melissa","12.7890705","-48.976879"
"510","South Brittanyside","-69.730583","-83.553626"
"511","Weeksfurt","17.932279","153.534039"
"512","West Tracieport","-48.4019745","130.748988"
"513","Lake Robert","-30.943842","16.732699"
"514","North Tammytown","-35.8059475","90.136463"
"515","Alexandrafurt","71.249002","39.220468"
"516","South Aaron","53.8198055","-84.466127"
"517","Lake Christopher","32.3555735","-145.317266"
"518","Dianaland","-36.130170","-87.121226"
"519","Grantville","-68.010428","37.415012"
"520","New Brian","65.360459","-14.609176"
"521","Bakerborough","-44.3214435","39.010734"
"522","Port Frankberg","19.4576995","-148.348188"
"523","Samanthamouth","-8.535561","62.808801"
"524","Sabrinaland","-53.592228","161.350420"
"525","Estradafurt","-83.7740935","-156.825344"
"526","Sloanstad","-83.8107265","118.184298"
"527","Lake Cassieborough","-44.0904025","-168.598408"
"528","East Danaland","-18.019728","85.138871"
"529","New Toddmouth","-30.8075895","-93.674846"
"530","North Tyler","82.4733855","90.735371"
"531","South Conniefurt","-13.9662885","-173.301764"
"532","Danielstad","21.812860","17.560113"
"533","Taylortown","63.214788","162.959546"
"534","New Nathaniel","57.451935","-37.071845"
"535","North Robin","37.1308815","12.204735"
"536","North Jenniferfort","-47.142544","-2.847375"
"537","Andersonside","3.2876185","-19.620215"
"538","Lake Tommyton","56.5421175","130.293844"
"539","New Veronica","-46.7129175","-86.148025"
"540","Markside","-24.509941","-47.299349"
"541","Port Alexis","81.6194185","-34.024330"
"542","North Sharonfort","58.856905","53.040664"
"543","Mitchellton","7.7761715","-123.712557"
"544","Brendahaven","-57.655059","-64.980283"
"545","Lake Victoria","-28.638648","-95.694298"
"546","Hallville","12.117936","-114.084302"
"547","Lindsayburgh","-80.105159","-177.494383"
"548","Scottbury","37.8821285","84.557489"
"549","Port Kelly","52.6218335","-73.262269"
"550","Caitlynhaven","-18.0770435","85.627828"
"551","Martinport","-8.236410","-168.013926"
"552","Justinton","47.3057665","70.528186"
"553","Phelpsfort","-13.2694015","12.980754"
"554","New James","51.343696","-125.148099"
"555","Humphreyfurt","75.1128985","-122.414113"
"556","Jonathanville","-32.895147","-114.033757"
"557","Oliviatown","-59.9090135","-128.360920"
"558","Cindyborough","88.858425","128.848947"
"559","Rachelville","89.9536025","-160.216096"
"560","Samanthaburgh","86.844946","63.289897"
"561","Samanthastad","33.3568275","-158.036304"
"562","North Gina","57.530801","93.850624"
"563","Wesleyfort","-39.520833","87.775368"
"564","Ritastad","86.248081","-69.124202"
"565","Scotttown","57.524695","168.230626"
"566","West Anthony","-61.1175195","20.084258"
"567","Aprilmouth","-8.1710345","68.207573"
"568","Henrystad","-5.0395385","92.581298"
"569","Samuelside","46.1569005","-66.324472"
"570","West Carolynchester","-42.866818","1.073470"
"571","North Brandy","-30.323820","-57.369013"
"572","Brandishire","31.5430265","175.484470"
"573","Port Julia","-53.9622435","24.634061"
"574","South Sarah","-40.3253075","20.195011"
"575","Williamfort","33.4097225","114.128976"
"576","South Joshuahaven","61.743919","59.491739"
"577","Stefanietown","-0.6734855","-149.793675"
"578","Santosport","-48.105755","171.122205"
"579","Lake Jerry","-70.278798","-64.960802"
"580","Lake Angel","-79.1014405","-26.764128"
"581","Luisside","37.485982","24.179974"
"582","East John","39.4561805","-20.412374"
"583","South Tracybury","-65.5950445","-42.974040"
"584","Johnsonhaven","80.4331655","-169.047744"
"585","Acevedoborough","-37.590914","-51.794735"
"586","Erintown","71.4911055","-141.654998"
"587","South Zachary","-25.2823945","102.799333"
"588","Cunninghamshire","59.276965","43.627768"
"589","Johnport","-38.534696","88.762839"
"590","Port Derek","78.3878175","-35.046053"
"591","Lake Deniseland","66.9907215","32.951119"
"592","Colemanchester","-2.4532385","178.983889"
"593","Lake Nichole","21.6707995","-55.359245"
"594","South Jessicamouth","48.0436725","136.789830"
"595","Middletonborough","48.957057","156.348517"
"596","West Sandraview","-28.8687015","-150.795508"
"597","Makaylafort","-62.8065905","-100.452414"
"598","Monroeberg","6.7125505","99.856106"
"599","West Stacy","-26.9563435","126.213580"
"600","Port Rebeccatown","83.993678","126.096812"
"601","Lake Jennatown","15.6652305","150.580613"
"602","Christineview","-12.8274825","51.559735"
"603","Lake Hannahhaven","31.3596065","-155.990246"
"604","Meyersmouth","21.0363365","-94.116040"
"605","South Stacy","-48.3112135","25.901874"
"606","South Bryan","82.856085","118.241339"
"607","South Kristin","42.5339965","-120.125297"
"608","Conwayhaven","21.041982","-127.853040"
"609","Port Jennifer","-27.370724","166.450868"
"610","Rossbury","-72.072399","-34.309668"
"611","Williambury","84.9371375","-10.757540"
"612","Kochport","29.0588335","108.713267"
"613","Carterton","72.2953685","176.961908"
"614","Davidshire","64.590895","-102.460014"
"615","Port Bryanview","18.857803","-108.997488"
"616","East Gregory","27.0539325","87.478721"
"617","Bryanborough","28.049716","-85.557120"
"618","North Leahchester","-35.6608535","64.294148"
"619","Moorebury","-59.3067685","111.179852"
"620","Thompsonburgh","12.6828585","52.739062"
"621","Cunninghamfort","31.340528","73.053352"
