"id","start_id","start_vertex_type","end_id","end_vertex_type","since"
"59","78","Country","9325","City","1975-02-18 19:55:27.244504"
"60","18","Country","6663","City","1980-01-06 01:27:28.809679"
"61","84","Country","4004","City","2012-01-28 02:41:18.959145"
"62","108","Country","3337","City","1985-09-02 01:07:26.722663"
"63","68","Country","1434","City","1973-06-19 07:47:53.446349"
"64","103","Country","1828","City","2007-09-24 11:43:00.771782"
"65","127","Country","7577","City","1978-05-07 01:24:48.050336"
"66","71","Country","4934","City","1996-04-18 19:45:40.215518"
"67","69","Country","3269","City","2015-03-11 21:20:46.842204"
"68","143","Country","5010","City","2017-05-21 03:49:47.073938"
"69","178","Country","9794","City","1993-05-13 00:07:40.199757"
"70","126","Country","5414","City","1977-11-12 15:38:27.236015"
"71","42","Country","2204","City","2003-08-12 17:27:47.890522"
"72","120","Country","3786","City","1986-06-24 17:58:46.606602"
"73","87","Country","5220","City","1972-09-10 05:38:00.714577"
"74","82","Country","2758","City","1984-11-22 18:29:53.905417"
"75","5","Country","4301","City","1970-08-20 23:14:20.257136"
"76","188","Country","147","City","1984-03-16 15:09:05.815144"
"77","60","Country","4086","City","1977-02-12 00:43:39.452615"
"78","89","Country","3667","City","2002-08-03 05:43:57.927274"
"79","65","Country","8053","City","1975-07-02 03:55:54.108049"
"80","84","Country","5645","City","2006-11-13 02:39:50.984156"
"81","25","Country","6932","City","2011-02-21 01:51:17.411118"
"82","148","Country","5164","City","1993-01-01 16:01:57.179259"
"83","83","Country","6494","City","2024-04-23 00:18:44.668964"
"84","80","Country","6802","City","2008-10-24 20:54:16.616108"
"85","14","Country","1362","City","2009-02-18 08:21:36.860126"
"86","26","Country","4656","City","2019-06-14 00:54:17.346144"
"87","136","Country","8358","City","1986-04-20 19:51:07.089660"
"88","166","Country","3707","City","1974-04-21 05:31:37.692962"
"89","160","Country","3523","City","1974-04-14 10:38:06.955369"
"90","72","Country","5182","City","1993-03-09 10:23:43.360184"
"91","50","Country","4157","City","1990-08-03 16:27:43.711003"
"92","5","Country","3140","City","2000-02-12 01:52:24.656491"
"93","138","Country","3119","City","1984-04-21 02:00:30.175485"
"94","75","Country","6343","City","1978-12-06 10:41:24.655910"
"95","93","Country","9186","City","1995-02-04 20:32:08.772618"
"96","107","Country","7008","City","1986-09-26 08:33:13.102375"
"97","36","Country","952","City","1985-02-10 17:28:22.280304"
"98","33","Country","9590","City","1996-03-01 02:18:18.723706"
"99","183","Country","3563","City","1986-01-10 14:39:13.367728"
"100","23","Country","6082","City","1997-09-12 14:53:17.779322"
"101","171","Country","363","City","2010-10-01 08:20:43.449451"
"102","118","Country","1681","City","1981-05-03 06:00:09.941678"
"103","82","Country","2193","City","1990-07-12 12:45:54.960830"
"104","96","Country","1199","City","2007-06-24 03:43:59.791105"
"105","32","Country","9377","City","1976-12-08 17:04:30.020786"
"106","40","Country","5844","City","2006-09-16 21:17:42.359303"
"107","97","Country","8681","City","2011-07-15 14:56:45.900789"
"108","93","Country","7247","City","1997-09-04 00:54:56.521795"
"109","140","Country","4175","City","1971-10-06 16:40:02.342158"
"110","26","Country","8326","City","2015-10-21 03:20:34.118722"
"111","192","Country","1097","City","2006-05-31 04:33:18.980883"
"112","145","Country","9006","City","2007-02-04 18:16:12.960751"
"113","150","Country","7629","City","1976-08-17 14:20:52.458098"
"114","3","Country","8612","City","1981-03-15 13:00:04.343964"
"115","114","Country","1875","City","1985-07-09 04:19:35.307141"
"116","106","Country","8872","City","2003-01-10 05:09:14.321454"
"117","108","Country","3163","City","2022-02-16 21:28:49.236098"
"118","119","Country","8126","City","1982-08-23 01:41:00.837532"
"119","43","Country","7495","City","1978-05-24 11:10:46.424096"
"120","101","Country","9162","City","1991-08-13 02:18:43.528686"
"121","196","Country","4355","City","1990-02-26 03:56:37.852190"
"122","170","Country","6309","City","2003-11-23 22:08:09.560665"
"123","43","Country","1025","City","2001-04-25 00:08:09.002731"
"124","185","Country","5605","City","2021-01-30 21:09:38.870287"
"125","147","Country","3317","City","2013-07-12 09:03:20.925032"
"126","61","Country","3121","City","1996-01-04 21:45:26.292021"
"127","194","Country","2158","City","2005-02-22 09:20:43.807447"
"128","124","Country","4639","City","2022-03-03 07:37:45.161189"
"129","140","Country","7926","City","2011-12-31 03:10:50.293324"
"130","27","Country","5906","City","1991-02-04 09:33:01.743971"
"131","38","Country","6681","City","1973-07-04 10:16:32.649874"
"132","96","Country","9873","City","2016-11-03 19:29:56.123544"
"133","107","Country","5509","City","1979-02-22 10:10:29.310460"
"134","35","Country","305","City","2000-01-11 08:14:19.991516"
"135","172","Country","7492","City","2009-11-14 08:17:39.045929"
"136","99","Country","8593","City","1977-01-25 21:21:15.745132"
"137","70","Country","4168","City","1982-10-08 13:18:06.716758"
"138","137","Country","2446","City","2002-03-29 19:52:39.563593"
"139","64","Country","4323","City","2019-09-15 04:43:16.319214"
"140","103","Country","9105","City","1996-11-22 21:30:11.944390"
"141","137","Country","3643","City","2004-09-09 10:54:56.866952"
"142","131","Country","4567","City","2016-02-08 00:26:08.566205"
"143","17","Country","2860","City","2000-10-25 04:04:58.934034"
"144","2","Country","1210","City","2007-06-26 00:35:35.869571"
"145","25","Country","2954","City","2007-06-27 06:45:56.277273"
"146","28","Country","6586","City","1990-09-18 15:29:42.137866"
"147","185","Country","3724","City","2022-05-18 07:36:45.079633"
"148","73","Country","7832","City","1995-07-07 20:56:39.066788"
"149","148","Country","5545","City","2014-12-18 14:53:06.342415"
"150","39","Country","2807","City","2010-02-22 08:10:21.359160"
"151","112","Country","851","City","2008-01-29 22:04:12.768667"
"152","79","Country","3803","City","2015-03-29 06:52:03.127150"
"153","56","Country","1200","City","1970-11-19 05:29:30.219043"
"154","181","Country","7212","City","1990-06-28 10:24:15.485916"
"155","31","Country","6662","City","1993-06-09 12:28:44.477675"
"156","5","Country","2969","City","1973-09-10 07:10:54.358123"
"157","89","Country","7394","City","2023-12-31 02:18:29.703542"
"158","169","Country","6170","City","1980-09-14 19:56:13.592878"
"159","147","Country","323","City","2020-04-21 17:01:16.132494"
"160","193","Country","80","City","1997-01-25 13:48:33.215596"
"161","30","Country","6195","City","2014-03-25 09:58:38.458475"
"162","141","Country","6515","City","1993-11-09 17:17:30.233269"
"163","134","Country","2313","City","2010-07-25 12:03:00.436909"
"164","69","Country","8693","City","1991-04-30 00:37:28.499431"
"165","99","Country","8417","City","1973-12-31 02:53:27.855397"
"166","14","Country","8125","City","2012-06-07 04:50:54.435795"
"167","68","Country","4711","City","2006-08-19 18:07:07.107344"
"168","192","Country","6403","City","2018-05-02 01:25:35.206587"
"169","192","Country","8729","City","1979-01-26 22:31:45.352853"
"170","181","Country","2874","City","2013-05-25 07:05:11.768075"
"171","4","Country","8345","City","2015-05-25 14:13:24.953382"
"172","29","Country","2387","City","2002-11-23 06:54:17.164153"
"173","86","Country","5004","City","1978-05-17 11:04:29.797562"
"174","32","Country","4245","City","1983-10-08 08:45:38.596342"
"175","163","Country","576","City","1998-10-02 01:32:59.168318"
"176","14","Country","3362","City","1976-10-06 19:52:14.191818"
"177","142","Country","3492","City","1980-12-23 04:44:43.846173"
"178","136","Country","6015","City","1986-09-16 04:08:15.833453"
"179","162","Country","3287","City","1970-05-15 08:26:17.627243"
"180","132","Country","9063","City","1998-03-14 18:35:22.233456"
"181","164","Country","6019","City","2008-05-02 13:26:36.676939"
"182","87","Country","9090","City","1994-05-31 07:15:32.686697"
"183","90","Country","5716","City","2011-02-16 11:13:34.562060"
"184","83","Country","3829","City","1985-11-02 09:59:37.713268"
"185","26","Country","786","City","1978-08-06 16:29:45.050023"
"186","52","Country","8258","City","2021-08-29 07:06:16.251694"
"187","171","Country","1011","City","1977-04-28 01:44:53.556477"
"188","81","Country","9090","City","2016-12-19 20:58:29.212356"
"189","140","Country","2120","City","1982-02-08 22:38:23.391385"
"190","111","Country","2690","City","1987-10-03 22:54:15.487183"
"191","35","Country","7070","City","2024-05-05 06:36:32.438750"
"192","37","Country","323","City","2023-11-18 16:42:48.940356"
"193","184","Country","2063","City","2001-04-08 14:43:10.291609"
"194","199","Country","4812","City","1973-02-12 08:25:46.287328"
"195","97","Country","8470","City","1975-10-06 21:03:42.107091"
"196","142","Country","6866","City","2001-11-14 02:15:36.739198"
"197","199","Country","7099","City","2024-04-27 14:37:10.464460"
"198","112","Country","6108","City","2023-01-04 06:04:09.025863"
"199","15","Country","8172","City","1997-11-20 02:55:19.169957"
"200","113","Country","8220","City","1973-07-04 17:13:57.865481"
"201","133","Country","6945","City","2014-08-16 15:18:22.792157"
"202","173","Country","5064","City","1985-11-03 12:00:24.649792"
"203","27","Country","9677","City","1978-08-19 02:10:10.525815"
"204","35","Country","1545","City","1988-09-03 15:31:41.959792"
"205","25","Country","2438","City","1986-03-12 19:27:18.242382"
"206","73","Country","6491","City","2010-04-05 17:16:29.929987"
"207","32","Country","5953","City","2024-10-19 04:30:00.557358"
"208","57","Country","8732","City","1981-09-04 12:55:26.337093"
"209","189","Country","3712","City","1970-10-17 14:55:33.575288"
"210","165","Country","4369","City","2021-01-22 05:56:14.703076"
"211","131","Country","3043","City","2022-02-24 23:58:28.283305"
"212","151","Country","2016","City","2018-08-15 01:17:28.070721"
"213","169","Country","6828","City","1989-04-12 13:10:18.767073"
"214","127","Country","8493","City","2020-10-07 04:26:09.015069"
"215","66","Country","5276","City","1989-01-21 06:11:15.941899"
"216","120","Country","8229","City","2014-08-02 07:55:59.282212"
"217","200","Country","6520","City","2018-07-22 05:52:06.924977"
"218","13","Country","1742","City","1980-05-06 06:42:56.949240"
"219","198","Country","3710","City","1983-12-29 07:57:19.724481"
"220","183","Country","1179","City","2008-08-17 22:50:52.391925"
"221","128","Country","6919","City","1985-02-14 16:53:30.640327"
"222","81","Country","4438","City","2008-11-06 05:17:11.772123"
"223","71","Country","9059","City","2006-11-02 07:02:11.878995"
"224","52","Country","9237","City","1995-07-02 19:02:21.688262"
"225","128","Country","9488","City","1998-03-02 04:58:13.138729"
"226","183","Country","3966","City","1993-06-12 05:40:48.704315"
"227","143","Country","1552","City","1997-02-19 01:41:47.361677"
"228","169","Country","4733","City","1979-09-29 18:11:32.504355"
"229","29","Country","6537","City","1976-01-16 11:25:32.987886"
"230","195","Country","8210","City","1999-02-01 12:12:52.513269"
"231","43","Country","9773","City","1975-03-20 11:37:44.131555"
"232","14","Country","7650","City","2005-06-11 06:16:53.683406"
"233","182","Country","4888","City","1974-08-24 02:32:46.834108"
"234","56","Country","1100","City","1987-05-23 21:24:03.726859"
"235","178","Country","8519","City","2020-07-11 10:58:34.006126"
"236","1","Country","2959","City","2008-08-17 20:23:07.106148"
"237","200","Country","1934","City","2000-12-23 09:48:14.051903"
"238","47","Country","6515","City","2016-12-04 11:32:07.985840"
"239","168","Country","157","City","2005-03-15 18:30:24.391287"
"240","9","Country","7276","City","2015-07-05 22:35:40.491820"
"241","180","Country","6465","City","1973-09-22 12:43:17.554674"
"242","173","Country","7206","City","1980-05-20 03:23:59.734234"
"243","59","Country","1376","City","2020-12-12 04:37:33.922539"
"244","117","Country","1388","City","2016-12-31 12:37:44.359234"
"245","100","Country","3151","City","1981-04-05 22:15:05.033747"
"246","153","Country","9645","City","1993-11-20 23:14:02.706469"
"247","57","Country","6397","City","1971-01-15 00:03:04.217724"
"248","28","Country","1201","City","1981-10-21 21:15:21.471083"
"249","7","Country","2450","City","1990-09-16 03:38:13.053199"
"250","167","Country","1752","City","2012-01-16 18:41:28.711044"
"251","147","Country","7546","City","1986-12-07 05:49:06.507153"
"252","123","Country","3531","City","2015-10-30 20:26:26.626887"
"253","157","Country","7266","City","2022-11-17 15:16:38.765265"
"254","154","Country","9662","City","2015-08-10 04:40:39.322612"
"255","141","Country","1374","City","1998-01-19 23:52:43.277401"
"256","87","Country","6220","City","1991-05-08 22:47:49.725665"
"257","164","Country","1407","City","1999-02-21 11:50:34.583756"
"258","42","Country","6282","City","1975-10-13 11:17:41.530050"
"259","149","Country","3115","City","2008-09-24 05:20:32.682831"
"260","42","Country","164","City","1984-09-01 18:06:03.221909"
"261","102","Country","2726","City","1981-06-21 13:35:57.355146"
"262","178","Country","3581","City","2019-02-07 01:55:58.410717"
"263","50","Country","8441","City","2014-11-02 21:16:32.976237"
"264","99","Country","3581","City","1997-02-01 03:04:28.821114"
"265","167","Country","6511","City","1995-02-14 15:20:25.698946"
"266","119","Country","5389","City","2001-09-20 07:22:45.820929"
"267","171","Country","7087","City","2024-01-30 19:35:49.318950"
"268","154","Country","8267","City","1974-11-18 14:18:51.400333"
"269","89","Country","5651","City","2010-11-20 20:37:44.575057"
"270","110","Country","8030","City","2019-10-26 23:07:14.365254"
"271","113","Country","3895","City","1998-03-30 08:06:43.877002"
"272","78","Country","105","City","2012-07-30 16:36:10.407737"
"273","197","Country","349","City","2004-03-09 09:51:23.184371"
"274","61","Country","7314","City","2018-07-25 09:30:51.544815"
"275","103","Country","4879","City","2001-11-23 01:41:09.169185"
"276","52","Country","430","City","1994-07-11 02:30:34.027650"
"277","66","Country","1360","City","1983-09-13 09:45:38.979416"
"278","13","Country","6891","City","2012-07-10 03:43:12.703243"
"279","52","Country","2161","City","2002-03-14 19:37:52.124062"
"280","14","Country","1904","City","1988-10-03 14:41:51.007561"
"281","196","Country","221","City","1975-10-22 09:04:26.257998"
"282","22","Country","6287","City","2018-09-28 22:26:46.754890"
"283","166","Country","1827","City","2019-09-04 11:56:12.817375"
"284","99","Country","3052","City","1972-12-15 21:58:48.690234"
"285","80","Country","2550","City","2016-07-19 16:24:53.509100"
"286","110","Country","1945","City","1975-12-02 10:00:18.656216"
"287","131","Country","1287","City","1970-07-03 02:25:03.018492"
"288","1","Country","9430","City","2013-12-04 15:30:52.914235"
"289","158","Country","3177","City","1990-12-22 22:26:31.439903"
"290","162","Country","1706","City","1970-11-09 20:43:09.903922"
"291","130","Country","5873","City","2011-10-13 00:59:07.512527"
"292","184","Country","5358","City","2000-01-30 10:35:44.965737"
"293","89","Country","7758","City","1973-11-20 18:04:33.630406"
"294","102","Country","5608","City","2013-09-23 03:50:10.264521"
"295","47","Country","8450","City","1987-02-15 09:59:33.154557"
"296","52","Country","7125","City","2007-08-14 23:00:50.247636"
"297","89","Country","8650","City","1990-10-17 20:03:48.912141"
"298","140","Country","2503","City","1997-02-27 01:58:34.487896"
"299","86","Country","8760","City","2015-10-21 17:28:31.640546"
"300","126","Country","1271","City","2024-01-19 03:18:54.503039"
"301","57","Country","3217","City","1996-02-11 14:20:52.703523"
"302","136","Country","8369","City","1990-09-09 02:49:09.762438"
"303","159","Country","9906","City","2005-07-24 07:38:08.663865"
"304","177","Country","2100","City","1974-11-16 02:34:27.182308"
"305","35","Country","9259","City","1987-01-09 00:00:59.408606"
"306","153","Country","7798","City","2016-08-14 07:40:08.110610"
"307","67","Country","6097","City","1974-08-11 10:59:55.532340"
"308","48","Country","8120","City","2017-06-24 08:19:19.082520"
"309","184","Country","7103","City","2012-07-11 15:07:25.829663"
"310","162","Country","209","City","2005-03-13 20:37:41.630014"
"311","54","Country","10","City","2003-11-20 22:28:43.630192"
"312","147","Country","3188","City","2007-10-26 21:11:11.135337"
"313","159","Country","1578","City","1992-11-14 19:47:16.046634"
"314","83","Country","9921","City","1989-05-10 17:08:05.728278"
"315","102","Country","43","City","1996-03-29 08:22:52.378649"
"316","34","Country","3793","City","1992-09-01 01:29:52.339991"
"317","38","Country","579","City","2003-10-07 03:51:30.674341"
"318","145","Country","6467","City","1991-10-25 09:43:33.823954"
"319","112","Country","2624","City","1988-12-11 14:07:51.954051"
"320","172","Country","4073","City","2003-05-09 13:14:01.011616"
"321","124","Country","5534","City","2024-06-07 16:20:46.441787"
"322","101","Country","8282","City","2020-01-08 15:16:47.357110"
"323","22","Country","405","City","2024-02-22 01:04:57.446923"
"324","17","Country","6012","City","1981-03-25 21:46:36.299771"
"325","52","Country","2082","City","2005-09-10 06:57:50.172688"
"326","61","Country","4823","City","2002-01-31 10:41:17.629987"
"327","56","Country","6035","City","1992-03-12 22:11:47.163008"
"328","121","Country","9240","City","1999-03-18 23:12:17.161723"
"329","119","Country","6923","City","2015-09-06 14:49:46.927856"
"330","150","Country","8417","City","2000-12-28 21:23:58.458890"
"331","89","Country","3457","City","1982-04-13 07:58:58.016305"
"332","56","Country","7604","City","1980-01-06 08:10:04.844523"
"333","127","Country","4851","City","1991-05-12 21:03:12.672104"
"334","148","Country","6289","City","1989-04-25 13:00:23.098892"
"335","126","Country","281","City","1970-06-26 10:39:46.811629"
"336","43","Country","1688","City","2017-07-12 13:40:01.301783"
"337","162","Country","7636","City","1988-05-12 18:50:52.787752"
"338","60","Country","5914","City","1977-05-03 02:01:36.437827"
"339","19","Country","8442","City","2009-07-15 03:48:31.334093"
"340","144","Country","2598","City","2022-11-03 03:25:32.327533"
"341","68","Country","6606","City","1972-06-10 02:01:23.307333"
"342","175","Country","6523","City","1993-12-07 19:34:32.545627"
"343","94","Country","6128","City","1999-04-11 16:53:38.132143"
"344","68","Country","6951","City","2014-11-14 19:20:36.123646"
"345","87","Country","7899","City","2015-09-21 17:11:43.637435"
"346","17","Country","5466","City","1993-02-13 03:28:12.177418"
"347","172","Country","317","City","1976-11-09 20:13:01.658463"
"348","128","Country","6430","City","2006-10-18 06:28:17.760768"
"349","13","Country","5455","City","1993-06-14 17:54:48.762724"
"350","9","Country","8505","City","1977-02-09 16:42:12.580046"
"351","108","Country","785","City","2024-11-08 10:18:17.165147"
"352","102","Country","9519","City","1990-03-19 09:47:31.165131"
"353","170","Country","4213","City","1971-11-25 15:48:59.018246"
"354","29","Country","2326","City","2021-03-03 10:52:38.348336"
"355","199","Country","3909","City","2020-09-07 04:49:50.074093"
"356","111","Country","8481","City","1994-06-09 11:29:42.395033"
"357","16","Country","172","City","1989-04-24 17:29:47.312842"
"358","175","Country","540","City","1971-06-02 03:54:20.768099"
"359","199","Country","9701","City","1985-01-30 08:04:23.237276"
"360","125","Country","479","City","1983-03-22 08:25:06.958466"
"361","130","Country","6119","City","1973-08-12 04:48:19.093093"
"362","30","Country","2507","City","1996-11-17 12:34:59.295657"
"363","12","Country","7104","City","2013-07-18 01:46:29.717090"
"364","199","Country","2935","City","1975-12-17 02:59:19.687021"
"365","46","Country","5939","City","2020-09-15 23:53:46.968283"
"366","19","Country","327","City","1993-05-02 19:52:33.567328"
"367","4","Country","3540","City","2022-02-24 15:15:42.822525"
"368","141","Country","2816","City","1976-10-15 10:12:16.409346"
"369","192","Country","5950","City","1980-10-09 13:59:56.811041"
"370","99","Country","4035","City","1988-06-02 19:59:38.309762"
"371","111","Country","6051","City","2021-07-03 12:08:03.640078"
"372","125","Country","8628","City","2010-07-25 17:57:07.333300"
"373","120","Country","9816","City","1998-12-27 07:08:53.628606"
"374","27","Country","3643","City","1984-11-15 23:08:28.694263"
"375","195","Country","6999","City","2016-08-01 15:39:51.232827"
"376","172","Country","5041","City","2005-10-28 01:00:51.988955"
"377","91","Country","6103","City","1970-08-12 03:55:42.859306"
"378","188","Country","2720","City","2015-04-18 18:34:32.731994"
"379","160","Country","7622","City","1987-01-06 02:32:02.113634"
"380","13","Country","2736","City","2024-08-04 06:11:30.363162"
"381","132","Country","5259","City","2017-11-04 19:35:52.289056"
"382","175","Country","6909","City","2011-06-13 07:41:09.545343"
"383","23","Country","5664","City","1983-05-13 16:08:40.775341"
"384","168","Country","432","City","2012-04-19 20:00:55.263895"
"385","114","Country","2665","City","1997-06-21 14:03:12.315492"
"386","144","Country","4883","City","1980-03-05 16:45:51.397391"
"387","103","Country","2836","City","1987-08-01 21:02:24.653846"
"388","15","Country","6370","City","1994-01-26 06:57:47.048286"
"389","185","Country","4033","City","2020-05-19 08:58:50.847569"
"390","86","Country","9512","City","1982-07-14 01:18:03.646029"
"391","10","Country","4061","City","1986-09-02 11:56:47.592582"
"392","189","Country","6406","City","2012-04-20 09:58:11.478881"
"393","96","Country","3369","City","2018-06-19 20:25:20.137429"
"394","44","Country","7791","City","2003-07-14 10:56:25.084326"
"395","72","Country","438","City","2009-10-17 08:45:36.268336"
"396","187","Country","3506","City","1992-08-18 15:40:36.310261"
"397","25","Country","6551","City","1976-09-22 11:45:34.528701"
"398","154","Country","7697","City","1995-02-22 10:09:44.210076"
"399","59","Country","4542","City","1977-12-27 16:54:58.896388"
"400","135","Country","747","City","2009-11-26 23:32:21.549027"
"401","118","Country","6652","City","1993-06-01 23:25:23.654651"
"402","84","Country","6021","City","1984-09-14 15:47:23.917692"
"403","79","Country","9930","City","2016-04-06 09:24:20.335333"
"404","82","Country","8051","City","2022-10-23 07:24:23.988896"
"405","54","Country","4130","City","1984-08-31 01:18:37.944611"
"406","104","Country","7873","City","1984-09-27 02:47:52.052782"
"407","79","Country","2376","City","2023-02-13 10:23:03.011097"
"408","80","Country","4082","City","1983-12-15 10:16:19.489558"
"409","75","Country","5617","City","1998-02-25 14:43:30.940723"
"410","194","Country","2336","City","2005-01-06 03:44:54.884648"
"411","3","Country","4837","City","1997-06-13 07:03:23.066285"
"412","155","Country","9353","City","1995-07-04 03:25:19.155442"
"413","105","Country","1122","City","2018-08-25 03:15:50.299662"
"414","173","Country","7217","City","2022-10-12 02:35:41.054784"
"415","36","Country","1945","City","2011-09-06 03:17:38.386055"
"416","119","Country","3675","City","1995-04-20 15:54:08.422628"
"417","139","Country","3478","City","1996-06-09 03:51:40.906541"
"418","177","Country","2957","City","2009-01-31 04:49:43.150585"
"419","163","Country","1219","City","2015-06-27 07:36:37.253426"
"420","152","Country","7619","City","2017-05-14 20:47:26.167831"
"421","14","Country","3256","City","1984-10-31 17:20:14.822081"
"422","34","Country","7608","City","1993-04-20 00:04:07.658477"
"423","3","Country","6628","City","1994-05-04 21:52:52.971396"
"424","196","Country","3835","City","2021-10-28 16:56:06.040186"
"425","195","Country","6706","City","1992-05-11 10:50:21.375658"
"426","98","Country","7576","City","2016-07-05 10:29:59.851744"
"427","82","Country","216","City","1996-01-22 12:34:44.125676"
"428","140","Country","6277","City","1991-01-17 23:46:29.649875"
"429","184","Country","6448","City","1975-10-28 19:50:34.759097"
"430","193","Country","2944","City","2020-06-03 09:22:49.432589"
"431","107","Country","1008","City","2020-11-08 19:56:05.235303"
"432","1","Country","6877","City","1970-02-10 15:32:29.949243"
"433","162","Country","666","City","1976-10-12 23:35:12.573781"
"434","73","Country","2020","City","2024-07-29 15:28:03.830274"
"435","94","Country","6995","City","1996-10-01 04:28:20.288461"
"436","30","Country","9424","City","1997-07-06 19:29:54.439770"
"437","7","Country","4930","City","2022-05-11 19:14:52.332978"
"438","23","Country","8702","City","1982-12-12 19:08:41.303805"
"439","147","Country","9415","City","2004-08-26 06:55:10.330560"
"440","114","Country","9463","City","1976-10-16 19:40:22.056814"
"441","110","Country","3871","City","1973-10-12 00:10:15.403608"
"442","41","Country","556","City","1981-09-16 01:35:28.608256"
"443","183","Country","6538","City","2012-04-12 20:53:43.370498"
"444","114","Country","4757","City","2003-12-23 05:04:11.572278"
"445","127","Country","9782","City","2012-03-06 15:48:04.121249"
"446","54","Country","9160","City","1973-05-08 18:34:37.629668"
"447","76","Country","9138","City","2010-09-08 12:21:45.865029"
"448","31","Country","4929","City","2022-06-22 10:07:51.567770"
"449","90","Country","2606","City","1970-11-12 09:13:24.032032"
"450","73","Country","398","City","1976-01-14 00:14:43.708571"
"451","50","Country","2701","City","1997-11-07 11:19:56.623658"
"452","99","Country","4306","City","2013-10-31 13:21:36.056925"
"453","21","Country","3976","City","1979-03-22 23:42:10.351410"
"454","72","Country","6088","City","1978-09-20 22:50:54.068430"
"455","146","Country","4082","City","1973-02-18 01:24:08.433857"
"456","139","Country","202","City","1998-10-04 01:04:36.690897"
"457","61","Country","8782","City","2014-10-13 00:41:32.372541"
"458","124","Country","7932","City","2023-09-12 22:29:24.851659"
"459","13","Country","6728","City","2005-07-14 10:26:51.838410"
"460","64","Country","2462","City","1974-10-07 06:44:38.771303"
"461","4","Country","401","City","2019-05-13 09:29:00.595474"
"462","113","Country","9476","City","1976-12-20 15:32:29.492362"
"463","68","Country","1417","City","1986-05-02 16:14:34.901027"
"464","117","Country","2390","City","1976-11-09 00:50:41.928167"
"465","164","Country","842","City","2005-05-13 19:27:25.948559"
"466","129","Country","9751","City","2021-08-05 09:42:58.170878"
